packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us,censorlab_packet_index,action,blocked
39,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,5,10,client_to_server,data,tcp,203.0.113.10,8443,925,10005000,40,drop,1
40,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,6,10,client_to_server,data,tcp,203.0.113.10,8443,925,10006000,41,drop,1
41,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,7,10,client_to_server,data,tcp,203.0.113.10,8443,925,10007000,42,drop,1
42,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,8,10,client_to_server,data,tcp,203.0.113.10,8443,925,10008000,43,drop,1
43,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,9,10,client_to_server,data,tcp,203.0.113.10,8443,181,10009000,44,drop,1
44,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,10140000,45,allow,0
45,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,0,10,client_to_server,data,udp,203.0.113.20,8443,925,10000000,46,drop,1
46,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,1,10,client_to_server,data,udp,203.0.113.20,8443,925,10001000,47,drop,1
47,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,2,10,client_to_server,data,udp,203.0.113.20,8443,925,10002000,48,drop,1
48,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,3,10,client_to_server,data,udp,203.0.113.20,8443,925,10003000,49,drop,1
49,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,4,10,client_to_server,data,udp,203.0.113.20,8443,925,10004000,50,drop,1
50,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,5,10,client_to_server,data,udp,203.0.113.20,8443,925,10005000,51,drop,1
51,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,6,10,client_to_server,data,udp,203.0.113.20,8443,925,10006000,52,drop,1
52,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,7,10,client_to_server,data,udp,203.0.113.20,8443,925,10007000,53,drop,1
53,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,8,10,client_to_server,data,udp,203.0.113.20,8443,925,10008000,54,drop,1
54,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,9,10,client_to_server,data,udp,203.0.113.20,8443,181,10009000,55,drop,1
55,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,10180000,56,allow,0
56,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,generated-0,0,0,2,client_to_server,data,tcp,203.0.113.10,8443,925,11000000,57,drop,1
57,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,generated-0,0,1,2,client_to_server,data,tcp,203.0.113.10,8443,213,11001000,58,drop,1
58,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,11132000,59,allow,0
59,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,ephemeral-0,1,0,2,client_to_server,data,udp,203.0.113.20,8443,925,11000000,60,drop,1
60,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,ephemeral-0,1,1,2,client_to_server,data,udp,203.0.113.20,8443,213,11001000,61,drop,1
61,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,11172000,62,allow,0
62,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,601,12000000,63,drop,1
63,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,12131000,64,allow,0
64,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,601,12000000,65,drop,1
65,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,12171000,66,allow,0
66,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,13000000,67,drop,1
67,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,13131000,68,allow,0
68,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,185,13000000,69,drop,1
69,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,13171000,70,allow,0
70,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,0,5,client_to_server,data,tcp,203.0.113.10,8443,925,14000000,71,drop,1
71,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,1,5,client_to_server,data,tcp,203.0.113.10,8443,925,14001000,72,drop,1
72,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,2,5,client_to_server,data,tcp,203.0.113.10,8443,925,14002000,73,drop,1
73,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,3,5,client_to_server,data,tcp,203.0.113.10,8443,925,14003000,74,drop,1
74,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,4,5,client_to_server,data,tcp,203.0.113.10,8443,585,14004000,75,drop,1
75,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,14135000,76,allow,0
76,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,0,5,client_to_server,data,udp,203.0.113.20,8443,925,14000000,77,drop,1
77,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,1,5,client_to_server,data,udp,203.0.113.20,8443,925,14001000,78,drop,1
78,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,2,5,client_to_server,data,udp,203.0.113.20,8443,925,14002000,79,drop,1
79,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,3,5,client_to_server,data,udp,203.0.113.20,8443,925,14003000,80,drop,1
80,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,4,5,client_to_server,data,udp,203.0.113.20,8443,585,14004000,81,drop,1
81,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,14175000,82,allow,0
82,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,0,10,client_to_server,data,tcp,203.0.113.10,8443,925,15000000,83,drop,1
83,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,1,10,client_to_server,data,tcp,203.0.113.10,8443,925,15001000,84,drop,1
84,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,2,10,client_to_server,data,tcp,203.0.113.10,8443,925,15002000,85,drop,1
85,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,3,10,client_to_server,data,tcp,203.0.113.10,8443,925,15003000,86,drop,1
86,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,4,10,client_to_server,data,tcp,203.0.113.10,8443,925,15004000,87,drop,1
87,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,5,10,client_to_server,data,tcp,203.0.113.10,8443,925,15005000,88,drop,1
88,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,6,10,client_to_server,data,tcp,203.0.113.10,8443,925,15006000,89,drop,1
89,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,7,10,client_to_server,data,tcp,203.0.113.10,8443,925,15007000,90,drop,1
90,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,8,10,client_to_server,data,tcp,203.0.113.10,8443,925,15008000,91,drop,1
91,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,9,10,client_to_server,data,tcp,203.0.113.10,8443,181,15009000,92,drop,1
92,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,15140000,93,allow,0
93,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,0,10,client_to_server,data,udp,203.0.113.20,8443,925,15000000,94,drop,1
94,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,1,10,client_to_server,data,udp,203.0.113.20,8443,925,15001000,95,drop,1
95,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,2,10,client_to_server,data,udp,203.0.113.20,8443,925,15002000,96,drop,1
96,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,3,10,client_to_server,data,udp,203.0.113.20,8443,925,15003000,97,drop,1
97,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,4,10,client_to_server,data,udp,203.0.113.20,8443,925,15004000,98,drop,1
98,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,5,10,client_to_server,data,udp,203.0.113.20,8443,925,15005000,99,drop,1
99,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,6,10,client_to_server,data,udp,203.0.113.20,8443,925,15006000,100,drop,1
100,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,7,10,client_to_server,data,udp,203.0.113.20,8443,925,15007000,101,drop,1
101,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,8,10,client_to_server,data,udp,203.0.113.20,8443,925,15008000,102,drop,1
102,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,9,10,client_to_server,data,udp,203.0.113.20,8443,181,15009000,103,drop,1
103,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,15180000,104,allow,0
104,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,generated-0,0,0,2,client_to_server,data,tcp,203.0.113.10,8443,925,16000000,105,drop,1
105,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,generated-0,0,1,2,client_to_server,data,tcp,203.0.113.10,8443,213,16001000,106,drop,1
106,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,16132000,107,allow,0
107,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,ephemeral-0,1,0,2,client_to_server,data,udp,203.0.113.20,8443,925,16000000,108,drop,1
108,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,ephemeral-0,1,1,2,client_to_server,data,udp,203.0.113.20,8443,213,16001000,109,drop,1
109,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,16172000,110,allow,0
1,1,-1,calibration,calibration,,calibration,-1,0,1,client_to_server,calibration,tcp,198.51.100.1,8443,28,100000000,2,drop,1
2,1,-1000,probe,text,82970dbf8a5b5f457308930f6cd683b4,direct-0,0,0,1,client_to_server,data,tcp,198.51.100.1,8443,185,101000000,3,drop,1
3,1,-1000,probe,text,82970dbf8a5b5f457308930f6cd683b4,direct-0,0,0,1,server_to_client,ack,tcp,198.51.100.1,8443,38,101091000,4,allow,0
4,1,-1001,probe,text,50652857464b4400dc71828be814c0eb,fixed-0,0,0,1,client_to_server,data,tcp,198.51.100.2,8443,185,102000000,5,allow,0
5,1,-1001,probe,text,50652857464b4400dc71828be814c0eb,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,102081000,6,allow,0
6,1,-1002,probe,text,685d26897748d1fa3a8515fdfea44897,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,103000000,7,allow,0
7,1,-1002,probe,text,685d26897748d1fa3a8515fdfea44897,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,103131000,8,allow,0
8,1,-1003,probe,text,8c0b09bb81f6de329c2c744a4203a234,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,104000000,9,allow,0
9,1,-1003,probe,text,8c0b09bb81f6de329c2c744a4203a234,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,104141000,10,allow,0
10,1,-1004,probe,text,f5e499610e9095c972ddea6ab04e2f5b,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,105000000,11,allow,0
11,1,-1004,probe,text,f5e499610e9095c972ddea6ab04e2f5b,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,105171000,12,allow,0
12,1,-1005,probe,text,6905369b7a224e875bc735ba03ae98a7,ephemeral-1,0,0,1,client_to_server,data,udp,203.0.113.21,8443,185,106000000,13,allow,0
13,1,-1005,probe,text,6905369b7a224e875bc735ba03ae98a7,ephemeral-1,0,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,106181000,14,allow,0
14,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,601,107000000,15,allow,0
15,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,107141000,16,allow,0
16,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,ephemeral-1,1,0,1,client_to_server,data,udp,203.0.113.21,8443,601,107000000,17,allow,0
17,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,107181000,18,allow,0
18,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,108000000,19,drop,1
19,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,108141000,20,allow,0
20,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,ephemeral-1,1,0,1,client_to_server,data,udp,203.0.113.21,8443,185,108000000,21,drop,1
21,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,108181000,22,allow,0
22,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,0,5,client_to_server,data,tcp,203.0.113.11,8443,925,109000000,23,drop,1
23,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,1,5,client_to_server,data,tcp,203.0.113.11,8443,925,109001000,24,drop,1
24,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,2,5,client_to_server,data,tcp,203.0.113.11,8443,925,109002000,25,drop,1
25,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,3,5,client_to_server,data,tcp,203.0.113.11,8443,925,109003000,26,drop,1
26,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,4,5,client_to_server,data,tcp,203.0.113.11,8443,585,109004000,27,drop,1
27,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,109145000,28,allow,0
28,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,0,5,client_to_server,data,udp,203.0.113.21,8443,925,109000000,29,drop,1
29,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,1,5,client_to_server,data,udp,203.0.113.21,8443,925,109001000,30,drop,1
30,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,2,5,client_to_server,data,udp,203.0.113.21,8443,925,109002000,31,drop,1
31,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,3,5,client_to_server,data,udp,203.0.113.21,8443,925,109003000,32,drop,1
32,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,4,5,client_to_server,data,udp,203.0.113.21,8443,585,109004000,33,drop,1
33,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,109185000,34,allow,0
34,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,0,10,client_to_server,data,tcp,203.0.113.11,8443,925,110000000,35,drop,1
35,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,1,10,client_to_server,data,tcp,203.0.113.11,8443,925,110001000,36,drop,1
36,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,2,10,client_to_server,data,tcp,203.0.113.11,8443,925,110002000,37,drop,1
37,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,3,10,client_to_server,data,tcp,203.0.113.11,8443,925,110003000,38,drop,1
38,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,4,10,client_to_server,data,tcp,203.0.113.11,8443,925,110004000,39,drop,1
39,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,5,10,client_to_server,data,tcp,203.0.113.11,8443,925,110005000,40,drop,1
40,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,6,10,client_to_server,data,tcp,203.0.113.11,8443,925,110006000,41,drop,1
41,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,7,10,client_to_server,data,tcp,203.0.113.11,8443,925,110007000,42,drop,1
42,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,8,10,client_to_server,data,tcp,203.0.113.11,8443,925,110008000,43,drop,1
43,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,9,10,client_to_server,data,tcp,203.0.113.11,8443,181,110009000,44,drop,1
44,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,110150000,45,allow,0
45,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,0,10,client_to_server,data,udp,203.0.113.21,8443,925,110000000,46,drop,1
46,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,1,10,client_to_server,data,udp,203.0.113.21,8443,925,110001000,47,drop,1
47,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,2,10,client_to_server,data,udp,203.0.113.21,8443,925,110002000,48,drop,1
48,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,3,10,client_to_server,data,udp,203.0.113.21,8443,925,110003000,49,drop,1
49,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,4,10,client_to_server,data,udp,203.0.113.21,8443,925,110004000,50,drop,1
50,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,5,10,client_to_server,data,udp,203.0.113.21,8443,925,110005000,51,drop,1
51,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,6,10,client_to_server,data,udp,203.0.113.21,8443,925,110006000,52,drop,1
52,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,7,10,client_to_server,data,udp,203.0.113.21,8443,925,110007000,53,drop,1
53,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,8,10,client_to_server,data,udp,203.0.113.21,8443,925,110008000,54,drop,1
54,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,9,10,client_to_server,data,udp,203.0.113.21,8443,181,110009000,55,drop,1
55,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,110190000,56,allow,0
56,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,generated-1,0,0,2,client_to_server,data,tcp,203.0.113.11,8443,925,111000000,57,drop,1
57,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,generated-1,0,1,2,client_to_server,data,tcp,203.0.113.11,8443,213,111001000,58,drop,1
58,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,111142000,59,allow,0
59,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,ephemeral-1,1,0,2,client_to_server,data,udp,203.0.113.21,8443,925,111000000,60,drop,1
60,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,ephemeral-1,1,1,2,client_to_server,data,udp,203.0.113.21,8443,213,111001000,61,drop,1
61,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,111182000,62,allow,0
62,1,15,application,text,10b6d66721eb7ff74e9b8f8339b2e37e,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,601,112000000,63,drop,1
63,1,15,application,text,10b6d66721eb7ff74e9b8f8339b2e37e,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,112141000,64,allow,0
