run_id,design_id,censor_model,architecture,seed,auac,t50,t50_observed,attempts,successes,mean_completion_ms,endpoint_burn_rate,path_failures,path_failures_fraction,endpoint_failures,endpoint_failures_fraction,platform_failures,platform_failures_fraction,network_failures,network_failures_fraction,auac_file,auac_media,auac_presence,auac_realtime,auac_text
robustness-000000,design-0000,classifier_dominant,direct_e2ee,4103,0.9493055555555556,36,0,1440,1367,1070.0139890427397,0.0,10,0.006944444444444444,0,0.0,0,0.0,63,0.04375,0.9027777777777778,0.9930555555555556,0.9826388888888888,0.8993055555555556,0.96875
robustness-000001,design-0000,classifier_dominant,direct_e2ee,4201,0.9458333333333333,36,0,1440,1362,1070.5374428845762,0.0,16,0.011111111111111112,0,0.0,0,0.0,62,0.043055555555555555,0.8958333333333334,0.9791666666666666,0.9895833333333334,0.9097222222222222,0.9548611111111112
robustness-000002,design-0000,classifier_dominant,direct_e2ee,4307,0.9375,36,0,1440,1350,1071.4685979626277,0.0,8,0.005555555555555556,0,0.0,0,0.0,82,0.05694444444444444,0.8506944444444444,0.9965277777777778,0.9756944444444444,0.8784722222222222,0.9861111111111112
robustness-000003,design-0000,classifier_dominant,fixed_proxy,4103,0.938888888888889,36,0,1440,1352,1198.05734205788,0.0,25,0.017361111111111112,0,0.0,0,0.0,63,0.04375,0.8923611111111112,0.9756944444444444,0.96875,0.8958333333333334,0.9618055555555556
robustness-000004,design-0000,classifier_dominant,fixed_proxy,4201,0.9270833333333334,36,0,1440,1335,1199.2991470271493,0.0,45,0.03125,0,0.0,0,0.0,60,0.041666666666666664,0.875,0.9652777777777778,0.9618055555555556,0.8958333333333334,0.9375
robustness-000005,design-0000,classifier_dominant,fixed_proxy,4307,0.9298611111111111,36,0,1440,1339,1200.3986444837126,0.0,16,0.011111111111111112,0,0.0,0,0.0,85,0.059027777777777776,0.8506944444444444,0.9826388888888888,0.9756944444444444,0.8576388888888888,0.9826388888888888
robustness-000006,design-0000,classifier_dominant,generated_transport,4103,0.921527777777778,36,0,1440,1327,1241.2520506093533,0.0,50,0.034722222222222224,0,0.0,0,0.0,63,0.04375,0.8819444444444444,0.9548611111111112,0.9444444444444444,0.875,0.9513888888888888
robustness-000007,design-0000,classifier_dominant,generated_transport,4201,0.9298611111111111,36,0,1440,1339,1241.9354822722805,0.0,42,0.029166666666666667,0,0.0,0,0.0,59,0.04097222222222222,0.8784722222222222,0.9548611111111112,0.9826388888888888,0.8854166666666666,0.9479166666666666
robustness-000008,design-0000,classifier_dominant,generated_transport,4307,0.9201388888888888,36,0,1440,1325,1243.2023772628484,0.0,32,0.022222222222222223,0,0.0,0,0.0,83,0.05763888888888889,0.8298611111111112,0.9826388888888888,0.9722222222222222,0.8472222222222222,0.96875
robustness-000009,design-0000,classifier_dominant,ephemeral_relay,4103,0.9395833333333334,36,0,1440,1353,1326.8200304445368,0.0,17,0.011805555555555555,0,0.0,0,0.0,70,0.04861111111111111,0.8993055555555556,0.9861111111111112,0.9756944444444444,0.8715277777777778,0.9652777777777778
