strategy,seed,auac,t50,t50_observed,byte_overhead,mean_completion_ms,endpoint_risk_exposure,provider_controlled_attempts,auac_text,auac_presence,auac_media,auac_file,auac_realtime
deadline_cost_failover,4001,0.9366319444444444,36,0,1.1515307010202456,2053.790976100774,1841.7600000000004,0,0.9982638888888888,0.9869791666666666,0.9991319444444444,0.9453125,0.7534722222222222
deadline_cost_failover,4127,0.8972222222222223,36,0,1.312716905786705,2149.195704250463,1956.5000000000007,0,0.9704861111111112,0.9270833333333334,0.9782986111111112,0.8984375,0.7118055555555556
deadline_cost_failover,4253,0.8895833333333333,36,0,1.330976823954514,2151.752749033748,2077.4800000000005,0,0.9583333333333334,0.8871527777777778,0.9427083333333334,0.9105902777777778,0.7491319444444444
deadline_cost_failover,4391,0.9480902777777778,36,0,1.1485351619374038,2047.1224136101923,1838.1200000000006,0,0.9947916666666666,0.9878472222222222,0.9991319444444444,0.9392361111111112,0.8194444444444444
deadline_cost_failover,4513,0.9447916666666667,36,0,1.1568425221850258,2057.3118212174404,1840.6400000000006,0,0.9947916666666666,0.9861111111111112,0.9982638888888888,0.9427083333333334,0.8020833333333334
deadline_cost_failover,4639,0.9423611111111111,36,0,1.154859349593496,2065.317067173794,1847.2800000000004,0,0.9930555555555556,0.9774305555555556,0.9956597222222222,0.9409722222222222,0.8046875
deadline_cost_failover,4783,0.9439236111111111,36,0,1.197201264015091,2109.4847259718645,1849.3200000000006,0,0.9869791666666666,0.9887152777777778,0.9956597222222222,0.9227430555555556,0.8255208333333334
deadline_cost_failover,4903,0.9496527777777778,36,0,1.1651545658642861,2073.561478543971,1846.1200000000006,0,0.9930555555555556,0.9852430555555556,0.9956597222222222,0.9418402777777778,0.8324652777777778
deadline_cost_failover,5021,0.9425347222222222,36,0,1.1688176835910515,2077.94728419086,1923.7600000000004,0,0.9852430555555556,0.9869791666666666,0.9930555555555556,0.9418402777777778,0.8055555555555556
deadline_cost_failover,5153,0.9434027777777778,36,0,1.1908829069025983,2116.432715974722,1845.4400000000005,0,0.9939236111111112,0.9878472222222222,0.9973958333333334,0.9357638888888888,0.8020833333333334
deadline_cost_failover,5279,0.9383680555555556,36,0,1.1892416646739996,2068.6321603793417,1896.9600000000005,0,0.9878472222222222,0.9704861111111112,0.9956597222222222,0.9340277777777778,0.8038194444444444
deadline_cost_failover,5413,0.9444444444444444,36,0,1.1777738382751475,2090.7289674041026,1847.2400000000005,0,0.9921875,0.984375,0.9973958333333334,0.9296875,0.8185763888888888
deadline_cost_failover,5521,0.8918402777777777,36,0,1.4025511012806207,2182.7158898181297,1977.2400000000007,0,0.9748263888888888,0.8784722222222222,0.9748263888888888,0.9088541666666666,0.7222222222222222
deadline_cost_failover,5651,0.9512152777777778,36,0,1.1555128460598332,2061.442679506502,1842.4000000000005,0,0.9973958333333334,0.9895833333333334,1.0,0.9505208333333334,0.8185763888888888
deadline_cost_failover,5779,0.9017361111111111,36,0,1.3582108002550615,2165.275477334357,1957.5800000000008,0,0.9748263888888888,0.9123263888888888,0.9618055555555556,0.8845486111111112,0.7751736111111112
deadline_cost_failover,5903,0.9475694444444445,36,0,1.1696278468569,2046.3758419390865,1844.1600000000005,0,0.9973958333333334,0.9817708333333334,0.9982638888888888,0.9244791666666666,0.8359375
