strategy,epoch,availability,ci_low,ci_high
deadline_cost_failover,0,0.9396875,0.9296875,0.95
deadline_cost_failover,1,0.9490625000000001,0.9396875000000001,0.9584375000000002
deadline_cost_failover,2,0.9465625000000001,0.9356249999999999,0.9571953125000001
deadline_cost_failover,3,0.9521875000000002,0.9412500000000001,0.9628124999999998
deadline_cost_failover,4,0.9481249999999998,0.9371875,0.9587578124999999
deadline_cost_failover,5,0.9465625,0.9334374999999999,0.9574999999999999
deadline_cost_failover,6,0.95375,0.9381250000000001,0.9662499999999999
deadline_cost_failover,7,0.9271874999999998,0.9153125000000001,0.9387578125000002
deadline_cost_failover,8,0.9446875,0.9290625000000002,0.9584375000000002
deadline_cost_failover,9,0.9293750000000001,0.9134375000000002,0.9415625000000001
deadline_cost_failover,10,0.9331250000000001,0.9190546874999999,0.9475
deadline_cost_failover,11,0.9246875000000001,0.9015546875,0.943125
deadline_cost_failover,12,0.883125,0.8037421874999999,0.93875
deadline_cost_failover,13,0.898125,0.8456171874999998,0.9425000000000001
deadline_cost_failover,14,0.9065624999999999,0.8712500000000001,0.9393749999999998
deadline_cost_failover,15,0.9037499999999999,0.8649921874999998,0.9346874999999999
deadline_cost_failover,16,0.925,0.9087499999999998,0.9390625000000001
deadline_cost_failover,17,0.91625,0.8815625,0.9465625
deadline_cost_failover,18,0.9131250000000002,0.8796796874999999,0.9415703125000001
deadline_cost_failover,19,0.8959374999999999,0.8518749999999999,0.9349999999999999
deadline_cost_failover,20,0.9331249999999999,0.9215625,0.9456249999999999
deadline_cost_failover,21,0.9424999999999999,0.9321875000000001,0.9521875000000002
deadline_cost_failover,22,0.9321874999999998,0.91375,0.9475
deadline_cost_failover,23,0.9506250000000002,0.9374921874999997,0.9621953124999999
deadline_cost_failover,24,0.9471875000000001,0.9375000000000002,0.95625
deadline_cost_failover,25,0.9487500000000001,0.9375,0.9596874999999999
deadline_cost_failover,26,0.9403124999999999,0.9215546874999999,0.9568828125000001
deadline_cost_failover,27,0.9471875000000001,0.9331250000000001,0.9600078124999999
deadline_cost_failover,28,0.9578125,0.94375,0.9703124999999998
deadline_cost_failover,29,0.9493750000000001,0.9356171874999999,0.9621874999999998
deadline_cost_failover,30,0.93125,0.9124999999999999,0.9459375000000001
deadline_cost_failover,31,0.9393750000000001,0.9209296874999999,0.95375
deadline_cost_failover,32,0.9487499999999999,0.9384375,0.959375
deadline_cost_failover,33,0.94625,0.9353125,0.9587499999999999
deadline_cost_failover,34,0.95625,0.9440625,0.9671875
deadline_cost_failover,35,0.9465625,0.9365546874999999,0.9568749999999999
