packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
43,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,fixed-0,0,9,10,client_to_server,data,tcp,198.51.100.2,8443,181,210009000
44,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,210090000
45,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,0,10,client_to_server,data,udp,203.0.113.20,8443,925,210000000
46,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,1,10,client_to_server,data,udp,203.0.113.20,8443,925,210001000
47,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,2,10,client_to_server,data,udp,203.0.113.20,8443,925,210002000
48,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,3,10,client_to_server,data,udp,203.0.113.20,8443,925,210003000
49,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,4,10,client_to_server,data,udp,203.0.113.20,8443,925,210004000
50,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,5,10,client_to_server,data,udp,203.0.113.20,8443,925,210005000
51,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,6,10,client_to_server,data,udp,203.0.113.20,8443,925,210006000
52,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,7,10,client_to_server,data,udp,203.0.113.20,8443,925,210007000
53,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,8,10,client_to_server,data,udp,203.0.113.20,8443,925,210008000
54,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,9,10,client_to_server,data,udp,203.0.113.20,8443,181,210009000
55,2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,210180000
