packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
1,4,-1,calibration,calibration,,calibration,-1,0,1,client_to_server,calibration,tcp,198.51.100.1,8443,28,400000000
2,4,-1000,probe,text,8c7d1c22f85f8f3b3e14c49082b19ca0,direct-0,0,0,1,client_to_server,data,tcp,198.51.100.1,8443,185,401000000
3,4,-1000,probe,text,8c7d1c22f85f8f3b3e14c49082b19ca0,direct-0,0,0,1,server_to_client,ack,tcp,198.51.100.1,8443,38,401091000
4,4,-1001,probe,text,86f1b6f800b29d4ed79d2ff99a9a10ec,fixed-0,0,0,1,client_to_server,data,tcp,198.51.100.2,8443,185,402000000
5,4,-1001,probe,text,86f1b6f800b29d4ed79d2ff99a9a10ec,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,402081000
6,4,-1002,probe,text,79696a2b829797881de13e1e96565fc5,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,403000000
7,4,-1002,probe,text,79696a2b829797881de13e1e96565fc5,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,403131000
8,4,-1003,probe,text,68897f9eccb532025b3c548a5cac4d0e,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,404000000
9,4,-1003,probe,text,68897f9eccb532025b3c548a5cac4d0e,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,404141000
10,4,-1004,probe,text,47b2fe3a211712d88c3fc19c97f89a45,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,405000000
11,4,-1004,probe,text,47b2fe3a211712d88c3fc19c97f89a45,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,405171000
12,4,-1005,probe,text,a216f5b07fa478237eadbf198cd79556,ephemeral-1,0,0,1,client_to_server,data,udp,203.0.113.21,8443,185,406000000
13,4,-1005,probe,text,a216f5b07fa478237eadbf198cd79556,ephemeral-1,0,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,406181000
14,4,40,application,text,e9ce8fd773f71aa43c2d12526f322f23,ephemeral-1,0,0,1,client_to_server,data,udp,203.0.113.21,8443,601,407000000
15,4,40,application,text,e9ce8fd773f71aa43c2d12526f322f23,ephemeral-1,0,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,407181000
16,4,40,application,text,e9ce8fd773f71aa43c2d12526f322f23,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,601,407000000
17,4,40,application,text,e9ce8fd773f71aa43c2d12526f322f23,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,407171000
18,4,41,application,presence,99c11815a6751bfcb6a843f698df3251,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,408000000
19,4,41,application,presence,99c11815a6751bfcb6a843f698df3251,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,408131000
20,4,41,application,presence,99c11815a6751bfcb6a843f698df3251,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,185,408000000
21,4,41,application,presence,99c11815a6751bfcb6a843f698df3251,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,408171000
22,4,42,application,media,484f6e0bb5ace67d60a1688eefc2c021,generated-0,0,0,5,client_to_server,data,tcp,203.0.113.10,8443,925,409000000
23,4,42,application,media,484f6e0bb5ace67d60a1688eefc2c021,generated-0,0,1,5,client_to_server,data,tcp,203.0.113.10,8443,925,409001000
24,4,42,application,media,484f6e0bb5ace67d60a1688eefc2c021,generated-0,0,2,5,client_to_server,data,tcp,203.0.113.10,8443,925,409002000
