packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
1,1,-1,calibration,calibration,,calibration,-1,0,1,client_to_server,calibration,tcp,198.51.100.1,8443,28,100000000
2,1,-1000,probe,text,82970dbf8a5b5f457308930f6cd683b4,direct-0,0,0,1,client_to_server,data,tcp,198.51.100.1,8443,185,101000000
3,1,-1000,probe,text,82970dbf8a5b5f457308930f6cd683b4,direct-0,0,0,1,server_to_client,ack,tcp,198.51.100.1,8443,38,101091000
4,1,-1001,probe,text,50652857464b4400dc71828be814c0eb,fixed-0,0,0,1,client_to_server,data,tcp,198.51.100.2,8443,185,102000000
5,1,-1001,probe,text,50652857464b4400dc71828be814c0eb,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,102081000
6,1,-1002,probe,text,685d26897748d1fa3a8515fdfea44897,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,103000000
7,1,-1002,probe,text,685d26897748d1fa3a8515fdfea44897,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,103131000
8,1,-1003,probe,text,8c0b09bb81f6de329c2c744a4203a234,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,104000000
9,1,-1003,probe,text,8c0b09bb81f6de329c2c744a4203a234,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,104141000
10,1,-1004,probe,text,f5e499610e9095c972ddea6ab04e2f5b,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,105000000
11,1,-1004,probe,text,f5e499610e9095c972ddea6ab04e2f5b,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,105171000
12,1,-1005,probe,text,6905369b7a224e875bc735ba03ae98a7,ephemeral-1,0,0,1,client_to_server,data,udp,203.0.113.21,8443,185,106000000
13,1,-1005,probe,text,6905369b7a224e875bc735ba03ae98a7,ephemeral-1,0,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,106181000
14,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,601,107000000
15,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,107141000
16,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,ephemeral-1,1,0,1,client_to_server,data,udp,203.0.113.21,8443,601,107000000
17,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,107181000
18,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,108000000
19,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,108141000
20,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,ephemeral-1,1,0,1,client_to_server,data,udp,203.0.113.21,8443,185,108000000
21,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,108181000
22,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,0,5,client_to_server,data,tcp,203.0.113.11,8443,925,109000000
23,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,1,5,client_to_server,data,tcp,203.0.113.11,8443,925,109001000
24,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,2,5,client_to_server,data,tcp,203.0.113.11,8443,925,109002000
25,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,3,5,client_to_server,data,tcp,203.0.113.11,8443,925,109003000
26,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,4,5,client_to_server,data,tcp,203.0.113.11,8443,585,109004000
27,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,109145000
28,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,0,5,client_to_server,data,udp,203.0.113.21,8443,925,109000000
29,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,1,5,client_to_server,data,udp,203.0.113.21,8443,925,109001000
30,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,2,5,client_to_server,data,udp,203.0.113.21,8443,925,109002000
31,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,3,5,client_to_server,data,udp,203.0.113.21,8443,925,109003000
32,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,4,5,client_to_server,data,udp,203.0.113.21,8443,585,109004000
33,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,109185000
34,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,0,10,client_to_server,data,tcp,203.0.113.11,8443,925,110000000
35,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,1,10,client_to_server,data,tcp,203.0.113.11,8443,925,110001000
36,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,2,10,client_to_server,data,tcp,203.0.113.11,8443,925,110002000
37,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,3,10,client_to_server,data,tcp,203.0.113.11,8443,925,110003000
38,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,4,10,client_to_server,data,tcp,203.0.113.11,8443,925,110004000
39,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,5,10,client_to_server,data,tcp,203.0.113.11,8443,925,110005000
40,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,6,10,client_to_server,data,tcp,203.0.113.11,8443,925,110006000
41,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,7,10,client_to_server,data,tcp,203.0.113.11,8443,925,110007000
42,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,8,10,client_to_server,data,tcp,203.0.113.11,8443,925,110008000
43,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,9,10,client_to_server,data,tcp,203.0.113.11,8443,181,110009000
44,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,110150000
45,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,0,10,client_to_server,data,udp,203.0.113.21,8443,925,110000000
46,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,1,10,client_to_server,data,udp,203.0.113.21,8443,925,110001000
47,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,2,10,client_to_server,data,udp,203.0.113.21,8443,925,110002000
48,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,3,10,client_to_server,data,udp,203.0.113.21,8443,925,110003000
49,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,4,10,client_to_server,data,udp,203.0.113.21,8443,925,110004000
50,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,5,10,client_to_server,data,udp,203.0.113.21,8443,925,110005000
51,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,6,10,client_to_server,data,udp,203.0.113.21,8443,925,110006000
52,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,7,10,client_to_server,data,udp,203.0.113.21,8443,925,110007000
53,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,8,10,client_to_server,data,udp,203.0.113.21,8443,925,110008000
54,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,9,10,client_to_server,data,udp,203.0.113.21,8443,181,110009000
55,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,110190000
56,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,generated-1,0,0,2,client_to_server,data,tcp,203.0.113.11,8443,925,111000000
57,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,generated-1,0,1,2,client_to_server,data,tcp,203.0.113.11,8443,213,111001000
