strategy,replicates,auac,auac_ci_low,auac_ci_high,t50,t50_ci_low,t50_ci_high,byte_overhead,byte_overhead_ci_low,byte_overhead_ci_high,mean_completion_ms,mean_completion_ms_ci_low,mean_completion_ms_ci_high,endpoint_risk_exposure,endpoint_risk_exposure_ci_low,endpoint_risk_exposure_ci_high,t50_event_fraction,provider_controlled_attempts,auac_text,auac_text_ci_low,auac_text_ci_high,auac_presence,auac_presence_ci_low,auac_presence_ci_high,auac_media,auac_media_ci_low,auac_media_ci_high,auac_file,auac_file_ci_low,auac_file_ci_high,auac_realtime,auac_realtime_ci_low,auac_realtime_ci_high
deadline_cost_failover,20,0.969548611111111,0.9667530381944442,0.9720225694444444,36.0,36.0,36.0,1.1765833923826983,1.1685305892706508,1.1851588230511716,393.27974108848923,389.5341783025706,396.9386189915573,1912.0890000000004,1868.2824750000007,1963.0286250000004,0.0,0,0.991015625,0.9887586805555555,0.99296875,0.9769531249999999,0.9733062065972222,0.9804698350694446,0.9879340277777781,0.9857638888888889,0.9901475694444446,0.9744791666666668,0.972004123263889,0.9768674045138889,0.9173611111111111,0.9111534288194444,0.9232215711805557
direct_only,20,0.5771875000000001,0.5473350694444445,0.6052003038194445,24.15,22.3,26.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,255.15164401170182,254.00549750437153,256.337830432992,5068.799999999999,5068.799999999999,5068.799999999999,1.0,0,0.6264322916666668,0.5943945312500001,0.6594205729166667,0.6125434027777779,0.5792947048611111,0.6454871961805555,0.6026041666666665,0.5713943142361111,0.6308409288194443,0.5734809027777777,0.5446592881944444,0.6014778645833335,0.47087673611111114,0.44452799479166666,0.4987445746527777
ephemeral_only,20,0.889565972222222,0.8864147135416667,0.8925436197916666,36.0,36.0,36.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,431.9340088122497,429.780105594913,434.11815606528376,460.8000000000002,460.8000000000002,460.8000000000002,0.0,0,0.960546875,0.9569878472222223,0.9641059027777779,0.9533854166666667,0.9489149305555555,0.9582899305555556,0.9265190972222221,0.9221788194444442,0.9310774739583333,0.8782986111111111,0.8734375000000002,0.8831163194444445,0.7290798611111112,0.722785373263889,0.7345930989583334
fixed_only,20,0.4501996527777778,0.43385329861111105,0.46621853298611104,17.9,16.95,18.801249999999992,1.0000306073648975,1.0000306073648975,1.0000306073648975,303.03948161107985,301.22996452901447,304.6915569995975,5183.999999999998,5183.999999999998,5183.999999999998,1.0,0,0.4847222222222222,0.46484266493055554,0.5050824652777778,0.48146701388888885,0.46488715277777776,0.4988335503472221,0.46827256944444445,0.44900173611111116,0.48620117187499995,0.4431857638888889,0.4276877170138889,0.45837890624999994,0.37335069444444446,0.359287109375,0.3870236545138889
fso,20,0.9728645833333331,0.9713799913194444,0.974175564236111,36.0,36.0,36.0,1.1568553465247888,1.1505528702092966,1.164196730831374,429.56726779423843,421.3910889038372,437.32160971358485,1207.5810000000001,1075.7744750000002,1344.7876000000006,0.0,0,0.9912760416666666,0.9895833333333334,0.9929253472222224,0.9811631944444447,0.978515625,0.9836371527777776,0.9894965277777779,0.9880642361111113,0.9908854166666667,0.9789930555555555,0.9763888888888888,0.9815104166666666,0.9233940972222223,0.920095486111111,0.9270399305555556
fso_fixed_code,20,0.9467100694444446,0.9429945746527776,0.9501916232638888,36.0,36.0,36.0,1.6492706838833093,1.6492706838833093,1.6492706838833093,393.104808378744,390.9862243443505,395.2531488848664,3618.5699999999997,3614.5159250000006,3622.9141000000013,0.0,0,0.9954427083333334,0.9944010416666668,0.9964843749999999,0.9282986111111111,0.9193120659722224,0.9370670572916667,0.9766493055555557,0.9733940972222224,0.9793836805555557,0.9521267361111111,0.9476551649305556,0.9562944878472223,0.881032986111111,0.8756944444444444,0.8866764322916666
fso_no_diversity,20,0.9718836805555556,0.9702428385416668,0.9734027777777777,36.0,36.0,36.0,1.1700101711036717,1.1616796088593977,1.179199531734052,404.0535400621784,395.9951575358117,413.3953459828714,1675.9020000000005,1505.3469500000003,1821.7237250000005,0.0,0,0.9922309027777778,0.9906684027777779,0.9938368055555555,0.979296875,0.9763020833333333,0.982204861111111,0.98828125,0.9864149305555557,0.9901909722222223,0.9773871527777777,0.9749555121527775,0.9794281684027778,0.9222222222222222,0.9186631944444444,0.9257378472222222
fso_no_feedback,20,0.9721354166666668,0.9700082465277777,0.9739932725694445,36.0,36.0,36.0,1.1705704017548755,1.16225037455165,1.179100610586376,402.0270668033347,394.14166805608386,410.8983796836115,1714.7690000000002,1567.9745750000004,1857.2159250000002,0.0,0,0.9928385416666667,0.9908854166666667,0.9947059461805555,0.9797743055555557,0.9761284722222221,0.9828559027777779,0.988498263888889,0.9861979166666668,0.9905826822916669,0.9768663194444445,0.9751302083333332,0.9786035156250001,0.9226996527777777,0.9186631944444444,0.9266937934027778
fso_no_redundancy,20,0.8723437500000001,0.8644268663194445,0.8799659288194444,36.0,36.0,36.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,371.8293622362482,359.7443492507644,387.02137513142986,1468.4670000000003,1221.0809000000004,1663.8054750000003,0.0,0,0.9406684027777779,0.9324207899305558,0.9480479600694444,0.9333767361111109,0.9250423177083332,0.9415820312500002,0.9085069444444442,0.9010850694444444,0.9156260850694444,0.85859375,0.8481759982638887,0.8688378906249999,0.7205729166666667,0.7123263888888889,0.7294715711805556
fso_no_semantics,20,0.9769010416666667,0.9754166666666668,0.978333550347222,36.0,36.0,36.0,2.000061214729795,2.000061214729795,2.000061214729795,359.0777333366376,354.2300690684206,365.10340991714173,2073.7990000000013,1921.0953250000011,2182.308300000001,0.0,0,0.9956597222222223,0.9945312500000002,0.9967013888888887,0.9950954861111111,0.9940104166666668,0.9960503472222222,0.9914930555555556,0.989453125,0.9934027777777776,0.9799913194444443,0.9781684027777778,0.9817708333333334,0.9222656249999999,0.9181412760416665,0.9263465711805556
generated_only,20,0.8661458333333334,0.8583417968750001,0.8734301215277778,36.0,36.0,36.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,356.6630027115531,355.17220715470455,358.06523063372595,1728.0000000000005,1728.0000000000005,1728.0000000000005,0.0,0,0.933767361111111,0.9257367621527778,0.9419715711805556,0.9281684027777777,0.9188791232638892,0.9369379340277778,0.9030381944444444,0.8955295138888889,0.9102864583333332,0.8501736111111111,0.8411458333333334,0.8589420572916665,0.7155815972222223,0.7068131510416666,0.7239583333333333
performance_only,20,0.5737326388888888,0.5449898003472223,0.6019628906249999,24.2,22.5,25.95,1.0000306073648975,1.0000306073648975,1.0000306073648975,258.75357987158776,257.60161630215487,260.12124485323415,5025.256999999999,5020.8334749999985,5029.532874999998,1.0,0,0.620876736111111,0.5917089843750002,0.6506521267361111,0.60546875,0.5753895399305556,0.6365071614583332,0.6019965277777779,0.573088107638889,0.6305121527777777,0.5715277777777777,0.5427517361111112,0.6006966145833333,0.46879340277777776,0.44313802083333326,0.49490017361111105
random_failover,20,0.9130208333333334,0.9089843750000002,0.9169103732638889,36.0,36.0,36.0,1.2483673052500133,1.2428552098544023,1.254066455983647,434.1110587241448,430.5189966934577,437.3887690778677,2938.655,2914.0679250000003,2963.4192749999997,0.0,0,0.9610677083333334,0.9564670138888889,0.9652354600694444,0.9348090277777779,0.9304253472222224,0.9393674045138889,0.9540364583333332,0.9502604166666668,0.9576399739583333,0.9385850694444444,0.9341134982638888,0.9429264322916667,0.7766059027777779,0.7699631076388889,0.7836805555555555
