strategy,seed,auac,t50,t50_observed,byte_overhead,mean_completion_ms,endpoint_risk_exposure,provider_controlled_attempts,auac_text,auac_presence,auac_media,auac_file,auac_realtime
deadline_cost_failover,4001,0.9163194444444445,36,0,1.1973801198257081,2108.4449759489135,1857.6800000000005,0,0.9904513888888888,0.9713541666666666,0.9835069444444444,0.9175347222222222,0.71875
deadline_cost_failover,4127,0.9151041666666667,36,0,1.1987113801211542,2094.4286895292535,1856.6800000000005,0,0.9739583333333334,0.9791666666666666,0.9869791666666666,0.9105902777777778,0.7248263888888888
deadline_cost_failover,4253,0.925,36,0,1.188091400313513,2084.926166116853,1862.2000000000005,0,0.9748263888888888,0.9539930555555556,0.9817708333333334,0.9175347222222222,0.796875
deadline_cost_failover,4391,0.9329861111111111,36,0,1.1764506210478771,2077.113086249632,1848.4400000000005,0,0.9826388888888888,0.9791666666666666,0.9973958333333334,0.9192708333333334,0.7864583333333334
deadline_cost_failover,4513,0.9243055555555556,36,0,1.208343185743132,2127.983569464404,1859.6800000000005,0,0.9887152777777778,0.9635416666666666,0.9835069444444444,0.9140625,0.7717013888888888
deadline_cost_failover,4639,0.9352430555555555,36,0,1.180439970907062,2079.7340528685404,1852.6000000000006,0,0.9904513888888888,0.9748263888888888,0.9947916666666666,0.9131944444444444,0.8029513888888888
deadline_cost_failover,4783,0.9286458333333333,36,0,1.2310868576970084,2140.8121370268364,1890.9600000000005,0,0.9800347222222222,0.9730902777777778,0.984375,0.8932291666666666,0.8125
deadline_cost_failover,4903,0.9354166666666667,36,0,1.186909768053563,2087.3468576272085,1853.4400000000005,0,0.9887152777777778,0.9835069444444444,0.9887152777777778,0.9201388888888888,0.7960069444444444
deadline_cost_failover,5021,0.9279513888888888,36,0,1.1907529073011318,2105.155706026717,1900.8800000000006,0,0.9878472222222222,0.9782986111111112,0.984375,0.9201388888888888,0.7690972222222222
deadline_cost_failover,5153,0.9116319444444444,36,0,1.2290987353206866,2155.762653117881,1864.8800000000006,0,0.9809027777777778,0.9522569444444444,0.9713541666666666,0.9071180555555556,0.7465277777777778
deadline_cost_failover,5279,0.921875,36,0,1.20835287541846,2094.1682300415096,1860.5600000000006,0,0.9670138888888888,0.9618055555555556,0.9878472222222222,0.8975694444444444,0.7951388888888888
deadline_cost_failover,5413,0.9229166666666667,36,0,1.2146537980232743,2126.3252160991638,1861.1600000000005,0,0.9791666666666666,0.9644097222222222,0.9826388888888888,0.9001736111111112,0.7881944444444444
deadline_cost_failover,5521,0.9307291666666667,36,0,1.1804417855624634,2087.9095647327745,1858.1200000000006,0,0.9791666666666666,0.9765625,0.9817708333333334,0.9322916666666666,0.7838541666666666
deadline_cost_failover,5651,0.9430555555555555,36,0,1.1734498193315266,2077.604249715745,1847.1200000000006,0,0.9913194444444444,0.9835069444444444,0.9991319444444444,0.9366319444444444,0.8046875
deadline_cost_failover,5779,0.9328125,36,0,1.1845966762314681,2052.73744045575,1852.6200000000006,0,0.9861111111111112,0.9835069444444444,0.9861111111111112,0.9114583333333334,0.796875
deadline_cost_failover,5903,0.9225694444444444,36,0,1.2214703145756949,2102.428805914205,1834.3400000000006,0,0.9887152777777778,0.9670138888888888,0.9782986111111112,0.8871527777777778,0.7916666666666666
deadline_cost_failover,6037,0.9175347222222222,36,0,1.2018968402943833,2092.0148194607787,1936.2600000000004,0,0.9756944444444444,0.96875,0.9782986111111112,0.9036458333333334,0.7612847222222222
deadline_cost_failover,6151,0.9404513888888889,36,0,1.196382558185876,2111.768273136674,1854.8000000000004,0,0.984375,0.9826388888888888,0.9861111111111112,0.9340277777777778,0.8151041666666666
deadline_cost_failover,6271,0.9362847222222223,36,0,1.168477052446995,2024.3592636392605,2147.32,0,0.984375,0.9782986111111112,0.9878472222222222,0.9253472222222222,0.8055555555555556
deadline_cost_failover,6397,0.9401041666666666,36,0,1.1885718874541686,2088.3604184821556,1850.8800000000006,0,0.9869791666666666,0.9887152777777778,0.9861111111111112,0.9175347222222222,0.8211805555555556
direct_only,4001,0.46875,19,1,1.0000306073648972,1578.4113029876942,5068.799999999998,0,0.6293402777777778,0.4479166666666667,0.5572916666666666,0.4053819444444444,0.3038194444444444
direct_only,4127,0.271875,4,1,1.0000306073648972,1516.7529624921667,5068.799999999998,0,0.4809027777777778,0.234375,0.3394097222222222,0.20225694444444445,0.10243055555555555
direct_only,4253,0.3012152777777778,2,1,1.0000306073648972,1637.4069115799068,5068.799999999998,0,0.4626736111111111,0.23697916666666666,0.3923611111111111,0.2604166666666667,0.15364583333333334
direct_only,4391,0.5345486111111111,3,1,1.0000306073648972,1680.2938665756694,5068.799999999998,0,0.6605902777777778,0.4904513888888889,0.6449652777777778,0.4930555555555556,0.3836805555555556
