strategy,seed,auac,t50,t50_observed,byte_overhead,mean_completion_ms,endpoint_risk_exposure,provider_controlled_attempts,auac_text,auac_presence,auac_media,auac_file,auac_realtime
deadline_cost_failover,4001,0.8305555555555556,12,1,1.3220470747648654,2151.825354397723,2407.7200000000003,0,0.8940972222222222,0.875,0.8932291666666666,0.8203125,0.6701388888888888
deadline_cost_failover,4127,0.9196180555555555,36,0,1.2258997449386257,2144.854287145105,2033.240000000001,0,0.9782986111111112,0.9904513888888888,0.9756944444444444,0.9157986111111112,0.7378472222222222
deadline_cost_failover,4253,0.9126736111111111,36,0,1.2064710505340348,2054.3725516515274,2784.7599999999998,0,0.9513888888888888,0.9600694444444444,0.9678819444444444,0.8932291666666666,0.7907986111111112
deadline_cost_failover,4391,0.9107638888888889,36,0,1.2229106009883628,2081.3301952689458,2784.4799999999996,0,0.9774305555555556,0.9670138888888888,0.9756944444444444,0.8758680555555556,0.7578125
deadline_cost_failover,4513,0.8939236111111111,36,0,1.2104563845050216,2082.8275758600953,2785.3599999999997,0,0.96875,0.9401041666666666,0.9704861111111112,0.8897569444444444,0.7005208333333334
deadline_cost_failover,4639,0.8888888888888888,36,0,1.2287227164036347,2140.9831806401603,2365.0400000000004,0,0.9401041666666666,0.921875,0.9513888888888888,0.8993055555555556,0.7317708333333334
deadline_cost_failover,4783,0.9088541666666666,36,0,1.2351987565758011,2068.824808698955,2790.12,0,0.9722222222222222,0.9730902777777778,0.9756944444444444,0.859375,0.7638888888888888
deadline_cost_failover,4903,0.9154513888888889,36,0,1.202817742706839,2071.255377774961,2780.2799999999997,0,0.9670138888888888,0.9635416666666666,0.9722222222222222,0.90625,0.7682291666666666
deadline_cost_failover,5021,0.8854166666666666,36,0,1.3079320580264626,2145.6189108608705,2439.3800000000006,0,0.9696180555555556,0.9461805555555556,0.9435763888888888,0.859375,0.7083333333333334
deadline_cost_failover,5153,0.8322916666666667,36,0,1.284185844093735,2106.5630679291944,2826.5199999999995,0,0.9053819444444444,0.8758680555555556,0.9105902777777778,0.8194444444444444,0.6501736111111112
deadline_cost_failover,5279,0.9230902777777777,36,0,1.2654213135660768,2150.2004017555164,2037.920000000001,0,0.9782986111111112,0.9782986111111112,0.984375,0.9019097222222222,0.7725694444444444
deadline_cost_failover,5413,0.8625,36,0,1.288337366491312,2130.494602940509,2389.1200000000003,0,0.9088541666666666,0.9097222222222222,0.9366319444444444,0.8324652777777778,0.7248263888888888
deadline_cost_failover,5521,0.9270833333333334,36,0,1.1951791168499921,2101.3980307625243,2028.0400000000009,0,0.9809027777777778,0.9756944444444444,0.9817708333333334,0.9270833333333334,0.7699652777777778
deadline_cost_failover,5651,0.9060763888888889,36,0,1.2154379882034114,2068.034832102062,2781.7999999999997,0,0.9678819444444444,0.9609375,0.9696180555555556,0.8888888888888888,0.7430555555555556
deadline_cost_failover,5779,0.9329861111111111,36,0,1.2028176311174876,2078.354676812691,2027.400000000001,0,0.9921875,0.9887152777777778,0.9861111111111112,0.9079861111111112,0.7899305555555556
deadline_cost_failover,5903,0.9208333333333333,36,0,1.2531330623306234,2116.656858257968,2029.460000000001,0,0.9809027777777778,0.9713541666666666,0.9626736111111112,0.8793402777777778,0.8098958333333334
deadline_cost_failover,6037,0.8907986111111111,36,0,1.2448302885381795,2113.8474686489303,2490.42,0,0.9756944444444444,0.9401041666666666,0.9513888888888888,0.8828125,0.7039930555555556
deadline_cost_failover,6151,0.8970486111111111,36,0,1.2340365534831819,2047.2190561984503,2799.5199999999995,0,0.9722222222222222,0.9461805555555556,0.9487847222222222,0.8671875,0.7508680555555556
