strategy,epoch,availability,ci_low,ci_high
deadline_cost_failover,0,0.9334374999999999,0.9231250000000001,0.94375
deadline_cost_failover,1,0.9434374999999999,0.9312499999999998,0.9556249999999998
deadline_cost_failover,2,0.9421875,0.9296875000000002,0.95375
deadline_cost_failover,3,0.943125,0.93,0.9546875000000001
deadline_cost_failover,4,0.944375,0.9306249999999998,0.9581249999999999
deadline_cost_failover,5,0.9493750000000001,0.9378124999999999,0.9590624999999999
deadline_cost_failover,6,0.9453125,0.93125,0.9568750000000001
deadline_cost_failover,7,0.9228124999999998,0.9090624999999999,0.9356250000000002
deadline_cost_failover,8,0.9365625000000002,0.9224999999999998,0.9487499999999999
deadline_cost_failover,9,0.8756250000000001,0.8509375,0.900625
deadline_cost_failover,10,0.8946874999999999,0.8753125,0.9125078124999999
deadline_cost_failover,11,0.8925000000000001,0.8753125,0.909375
deadline_cost_failover,12,0.9087500000000001,0.8724921874999999,0.9356328124999999
deadline_cost_failover,13,0.8943749999999999,0.85125,0.9321874999999998
deadline_cost_failover,14,0.804375,0.6730937499999999,0.9075078125
deadline_cost_failover,15,0.7490625000000001,0.6234218749999999,0.8503124999999999
deadline_cost_failover,16,0.9271874999999999,0.9146875000000001,0.9396875
deadline_cost_failover,17,0.9337500000000002,0.91875,0.9465703125
deadline_cost_failover,18,0.9128124999999999,0.89125,0.9315625000000001
deadline_cost_failover,19,0.9237499999999998,0.9071875,0.9390625
deadline_cost_failover,20,0.9084375,0.8768750000000001,0.9318828125
deadline_cost_failover,21,0.9121874999999999,0.8915625,0.9293828125
deadline_cost_failover,22,0.9134375,0.8975000000000002,0.9278124999999999
deadline_cost_failover,23,0.8993750000000003,0.8643671874999999,0.930625
deadline_cost_failover,24,0.9199999999999999,0.9034375000000001,0.9349999999999998
deadline_cost_failover,25,0.9165624999999998,0.8815546874999999,0.9418750000000001
deadline_cost_failover,26,0.9337500000000001,0.9159296874999998,0.9503125000000001
deadline_cost_failover,27,0.9159374999999998,0.8740625000000002,0.9459375
deadline_cost_failover,28,0.9321875000000001,0.9209375,0.9434374999999999
deadline_cost_failover,29,0.9371875,0.9234296874999998,0.9503124999999999
deadline_cost_failover,30,0.9334374999999999,0.9243749999999998,0.9412499999999999
deadline_cost_failover,31,0.9243750000000001,0.9093671874999998,0.9378125
deadline_cost_failover,32,0.9428124999999999,0.9271874999999999,0.9578125
deadline_cost_failover,33,0.9334374999999999,0.9162500000000001,0.9475
deadline_cost_failover,34,0.9349999999999999,0.9203046875000002,0.9490624999999999
deadline_cost_failover,35,0.9371875,0.9206171874999999,0.9503125000000001
fso_no_feedback,0,0.93,0.9206249999999999,0.9393750000000001
fso_no_feedback,1,0.940625,0.9296796875,0.9528125
fso_no_feedback,2,0.9349999999999999,0.9228125,0.9465624999999998
fso_no_feedback,3,0.9350000000000002,0.9237421874999998,0.9456249999999999
fso_no_feedback,4,0.9340625000000001,0.9184296874999999,0.9484375
fso_no_feedback,5,0.9346874999999999,0.9184374999999999,0.9481249999999999
fso_no_feedback,6,0.9356249999999999,0.9190625000000001,0.9503124999999999
fso_no_feedback,7,0.9112500000000001,0.8974921874999999,0.9249999999999998
fso_no_feedback,8,0.9390624999999998,0.9249921875,0.9509374999999999
fso_no_feedback,9,0.8787499999999999,0.8584375000000002,0.8996953125
fso_no_feedback,10,0.8928125,0.8728124999999999,0.9125
fso_no_feedback,11,0.8950000000000001,0.8790546874999998,0.9109374999999998
fso_no_feedback,12,0.9096874999999999,0.8840625000000001,0.9303125
fso_no_feedback,13,0.9065625,0.8753046874999999,0.9309375
fso_no_feedback,14,0.8649999999999999,0.8231250000000001,0.9037499999999998
fso_no_feedback,15,0.8150000000000002,0.7628124999999999,0.8656406249999999
fso_no_feedback,16,0.9153125,0.8996875000000001,0.9303125
fso_no_feedback,17,0.9303125,0.9156249999999998,0.9443749999999997
fso_no_feedback,18,0.9115624999999998,0.8903125000000003,0.9306249999999998
fso_no_feedback,19,0.9203125,0.9043749999999999,0.9356250000000002
fso_no_feedback,20,0.9084375,0.8746875000000001,0.9315625000000001
fso_no_feedback,21,0.9087500000000001,0.8809296875000001,0.9309453125
fso_no_feedback,22,0.9131250000000002,0.8978046874999999,0.9275
fso_no_feedback,23,0.8996875000000001,0.8668671874999999,0.9296953124999999
fso_no_feedback,24,0.9200000000000002,0.9012500000000001,0.9353203124999999
fso_no_feedback,25,0.9168750000000001,0.8818671874999999,0.9418749999999999
fso_no_feedback,26,0.9268750000000001,0.9096875000000001,0.9431328124999999
fso_no_feedback,27,0.9193749999999999,0.891875,0.9396875
fso_no_feedback,28,0.931875,0.91625,0.945
fso_no_feedback,29,0.9321875000000001,0.9165624999999998,0.9474999999999998
fso_no_feedback,30,0.9215625,0.9112499999999999,0.9315625000000001
fso_no_feedback,31,0.9193749999999999,0.9025000000000001,0.9350000000000002
fso_no_feedback,32,0.9343749999999998,0.9193749999999999,0.9481249999999998
fso_no_feedback,33,0.931875,0.9168750000000001,0.9462578125000002
fso_no_feedback,34,0.9346875000000001,0.9181250000000001,0.9503125000000001
fso_no_feedback,35,0.9296875000000002,0.9146875,0.9434453124999999
