strategy,seed,auac,t50,t50_observed,byte_overhead,mean_completion_ms,endpoint_risk_exposure,provider_controlled_attempts,auac_text,auac_presence,auac_media,auac_file,auac_realtime
fso,9001,0.9184027777777778,36,0,1.2148245423508157,2125.0756706034535,1901.7000000000005,0,0.9791666666666666,0.9644097222222222,0.9817708333333334,0.9036458333333334,0.7630208333333334
fso,9103,0.9204861111111111,36,0,1.239571346112971,2199.7750587811165,1807.3800000000006,0,0.9791666666666666,0.953125,0.9774305555555556,0.9201388888888888,0.7725694444444444
fso,9209,0.9107638888888889,36,0,1.2350950601785429,2127.300312621537,2000.3200000000004,0,0.9730902777777778,0.953125,0.9765625,0.9036458333333334,0.7473958333333334
fso,9311,0.9119791666666667,36,0,1.2450611410011159,2173.353226923871,1884.7200000000005,0,0.9765625,0.9348958333333334,0.9782986111111112,0.9036458333333334,0.7664930555555556
fso,9413,0.896875,36,0,1.2732894494925342,2204.407374687474,1606.0400000000002,0,0.9765625,0.9427083333333334,0.9670138888888888,0.8949652777777778,0.703125
fso,9521,0.9135416666666667,36,0,1.2111666307986608,2126.6658787974966,1848.2000000000005,0,0.9835069444444444,0.9652777777777778,0.9809027777777778,0.9123263888888888,0.7256944444444444
fso,9631,0.9326388888888889,36,0,1.1668209575429087,2082.0723400161714,1827.3600000000001,0,0.9895833333333334,0.96875,0.9913194444444444,0.9427083333333334,0.7708333333333334
fso,9743,0.9123263888888888,36,0,1.2415786120410224,2175.4766977924187,1622.1400000000006,0,0.9678819444444444,0.9383680555555556,0.9835069444444444,0.8880208333333334,0.7838541666666666
fso,9851,0.9071180555555556,36,0,1.2394158556512036,2255.1775941133733,1349.1600000000003,0,0.9782986111111112,0.9626736111111112,0.9704861111111112,0.8993055555555556,0.7248263888888888
fso,9967,0.9288194444444444,36,0,1.2192910529252352,2150.766634877388,1787.8200000000002,0,0.9895833333333334,0.9730902777777778,0.9774305555555556,0.9097222222222222,0.7942708333333334
fso,10079,0.8914930555555556,36,0,1.3018803961421967,2235.6220213280435,1598.0800000000004,0,0.9513888888888888,0.9314236111111112,0.9513888888888888,0.8732638888888888,0.75
fso,10193,0.9171875,36,0,1.2418984098517456,2169.845408041623,1690.3400000000001,0,0.9704861111111112,0.9583333333333334,0.9835069444444444,0.8828125,0.7907986111111112
fso_no_feedback,9001,0.9196180555555555,36,0,1.2128419821722727,2117.392938260128,1863.8600000000006,0,0.9800347222222222,0.9635416666666666,0.9809027777777778,0.9010416666666666,0.7725694444444444
fso_no_feedback,9103,0.9180555555555555,36,0,1.2475414029704022,2133.623554162926,1871.2600000000004,0,0.9782986111111112,0.9539930555555556,0.9678819444444444,0.9114583333333334,0.7786458333333334
fso_no_feedback,9209,0.9140625,36,0,1.2324374747595515,2121.9088359157417,1871.1000000000006,0,0.9730902777777778,0.9565972222222222,0.9722222222222222,0.9036458333333334,0.7647569444444444
fso_no_feedback,9311,0.9123263888888888,36,0,1.2443962385089538,2173.1454172917875,1875.1800000000005,0,0.9765625,0.9348958333333334,0.9782986111111112,0.9045138888888888,0.7673611111111112
fso_no_feedback,9413,0.9010416666666666,36,0,1.2834036339603592,2199.041607115119,1913.5800000000006,0,0.9774305555555556,0.9262152777777778,0.9696180555555556,0.8940972222222222,0.7378472222222222
fso_no_feedback,9521,0.9154513888888889,36,0,1.2085090453796694,2134.009358970834,1860.0800000000006,0,0.9835069444444444,0.9626736111111112,0.9809027777777778,0.9192708333333334,0.7309027777777778
fso_no_feedback,9631,0.93125,36,0,1.1806028574844571,2086.021713133638,1851.8400000000006,0,0.9921875,0.9722222222222222,0.9904513888888888,0.9210069444444444,0.7803819444444444
fso_no_feedback,9743,0.9111111111111111,36,0,1.2382483474148467,2152.180366600796,1868.6200000000006,0,0.9704861111111112,0.9392361111111112,0.9835069444444444,0.8776041666666666,0.7847222222222222
fso_no_feedback,9851,0.9098958333333333,36,0,1.2925951850523407,2213.9425064642764,1916.0200000000004,0,0.9791666666666666,0.953125,0.9730902777777778,0.9019097222222222,0.7421875
fso_no_feedback,9967,0.9302083333333333,36,0,1.2000277764493332,2114.3178839027655,1852.8800000000006,0,0.9895833333333334,0.9730902777777778,0.9791666666666666,0.9227430555555556,0.7864583333333334
fso_no_feedback,10079,0.8998263888888889,36,0,1.278152114883894,2149.0717892271446,1937.9000000000008,0,0.9600694444444444,0.9305555555555556,0.9539930555555556,0.8967013888888888,0.7578125
fso_no_feedback,10193,0.9204861111111111,36,0,1.2345917855624635,2172.1517166107983,1867.1400000000006,0,0.9704861111111112,0.9592013888888888,0.9835069444444444,0.9001736111111112,0.7890625
