epoch,application_operations,successful_operations,availability,conditional_no_censor_availability,censored_packets,packets,processing_us,total_us,pcap_index_offset
0,10,10,1.0,1.0,50,109,38218,49469,1
1,10,10,1.0,1.0,52,109,47775,56016,1
2,10,10,1.0,1.0,7,109,31323,35006,1
3,10,10,1.0,1.0,7,109,13351,14774,1
4,10,10,1.0,1.0,6,109,16848,24238,1
5,10,10,1.0,1.0,5,109,12348,15889,1
