packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us,censorlab_packet_index,action,blocked
40,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,6,10,client_to_server,data,tcp,203.0.113.10,8443,925,10006000,41,drop,1
41,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,7,10,client_to_server,data,tcp,203.0.113.10,8443,925,10007000,42,drop,1
42,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,8,10,client_to_server,data,tcp,203.0.113.10,8443,925,10008000,43,drop,1
43,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,9,10,client_to_server,data,tcp,203.0.113.10,8443,181,10009000,44,drop,1
44,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,10140000,45,drop,1
45,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,0,10,client_to_server,data,udp,203.0.113.20,8443,925,10000000,46,allow,0
46,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,1,10,client_to_server,data,udp,203.0.113.20,8443,925,10001000,47,allow,0
47,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,2,10,client_to_server,data,udp,203.0.113.20,8443,925,10002000,48,allow,0
48,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,3,10,client_to_server,data,udp,203.0.113.20,8443,925,10003000,49,allow,0
49,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,4,10,client_to_server,data,udp,203.0.113.20,8443,925,10004000,50,allow,0
50,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,5,10,client_to_server,data,udp,203.0.113.20,8443,925,10005000,51,allow,0
51,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,6,10,client_to_server,data,udp,203.0.113.20,8443,925,10006000,52,allow,0
52,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,7,10,client_to_server,data,udp,203.0.113.20,8443,925,10007000,53,allow,0
53,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,8,10,client_to_server,data,udp,203.0.113.20,8443,925,10008000,54,allow,0
54,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,9,10,client_to_server,data,udp,203.0.113.20,8443,181,10009000,55,allow,0
55,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,10180000,56,allow,0
56,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,generated-0,0,0,2,client_to_server,data,tcp,203.0.113.10,8443,925,11000000,57,drop,1
57,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,generated-0,0,1,2,client_to_server,data,tcp,203.0.113.10,8443,213,11001000,58,drop,1
58,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,11132000,59,drop,1
59,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,ephemeral-0,1,0,2,client_to_server,data,udp,203.0.113.20,8443,925,11000000,60,allow,0
60,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,ephemeral-0,1,1,2,client_to_server,data,udp,203.0.113.20,8443,213,11001000,61,allow,0
61,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,11172000,62,allow,0
62,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,601,12000000,63,drop,1
63,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,12131000,64,drop,1
64,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,601,12000000,65,allow,0
