packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
42,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-0,0,8,10,client_to_server,data,udp,203.0.113.20,8443,925,310008000
43,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-0,0,9,10,client_to_server,data,udp,203.0.113.20,8443,181,310009000
44,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,310180000
45,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,0,10,client_to_server,data,udp,203.0.113.21,8443,925,310000000
46,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,1,10,client_to_server,data,udp,203.0.113.21,8443,925,310001000
47,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,2,10,client_to_server,data,udp,203.0.113.21,8443,925,310002000
48,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,3,10,client_to_server,data,udp,203.0.113.21,8443,925,310003000
49,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,4,10,client_to_server,data,udp,203.0.113.21,8443,925,310004000
50,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,5,10,client_to_server,data,udp,203.0.113.21,8443,925,310005000
51,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,6,10,client_to_server,data,udp,203.0.113.21,8443,925,310006000
52,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,7,10,client_to_server,data,udp,203.0.113.21,8443,925,310007000
53,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,8,10,client_to_server,data,udp,203.0.113.21,8443,925,310008000
54,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,9,10,client_to_server,data,udp,203.0.113.21,8443,181,310009000
55,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,310190000
56,3,34,application,realtime,32177a7b6712271700180a597e703aeb,ephemeral-0,0,0,2,client_to_server,data,udp,203.0.113.20,8443,925,311000000
57,3,34,application,realtime,32177a7b6712271700180a597e703aeb,ephemeral-0,0,1,2,client_to_server,data,udp,203.0.113.20,8443,213,311001000
