packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
1,0,-1,calibration,calibration,,calibration,-1,0,1,client_to_server,calibration,tcp,198.51.100.1,8443,28,0
2,0,-1000,probe,text,d859f3efefff72636b493ec139908da8,direct-0,0,0,1,client_to_server,data,tcp,198.51.100.1,8443,185,1000000
3,0,-1000,probe,text,d859f3efefff72636b493ec139908da8,direct-0,0,0,1,server_to_client,ack,tcp,198.51.100.1,8443,38,1091000
4,0,-1001,probe,text,18ebaeff0c67e4a757a1f0635632695f,fixed-0,0,0,1,client_to_server,data,tcp,198.51.100.2,8443,185,2000000
5,0,-1001,probe,text,18ebaeff0c67e4a757a1f0635632695f,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,2081000
6,0,-1002,probe,text,abf283352ff2666cd7cbbb8adce111e4,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,3000000
7,0,-1002,probe,text,abf283352ff2666cd7cbbb8adce111e4,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,3131000
8,0,-1003,probe,text,5b4611b34003a05995036b7a1c57186c,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,4000000
9,0,-1003,probe,text,5b4611b34003a05995036b7a1c57186c,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,4141000
10,0,-1004,probe,text,18a9e5a83b3f76a23e3642529afdebeb,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,5000000
11,0,-1004,probe,text,18a9e5a83b3f76a23e3642529afdebeb,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,5171000
12,0,-1005,probe,text,2d136f02d0a735cd4445173abb527d60,ephemeral-1,0,0,1,client_to_server,data,udp,203.0.113.21,8443,185,6000000
13,0,-1005,probe,text,2d136f02d0a735cd4445173abb527d60,ephemeral-1,0,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,6181000
14,0,0,application,text,300152316737f3037ff8c1fdb66f2636,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,601,7000000
15,0,0,application,text,300152316737f3037ff8c1fdb66f2636,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,7131000
16,0,0,application,text,300152316737f3037ff8c1fdb66f2636,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,601,7000000
17,0,0,application,text,300152316737f3037ff8c1fdb66f2636,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,7171000
18,0,1,application,presence,e8074336ce39af521572720617412764,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,8000000
19,0,1,application,presence,e8074336ce39af521572720617412764,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,8131000
20,0,1,application,presence,e8074336ce39af521572720617412764,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,185,8000000
21,0,1,application,presence,e8074336ce39af521572720617412764,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,8171000
22,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,0,5,client_to_server,data,tcp,203.0.113.10,8443,925,9000000
23,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,1,5,client_to_server,data,tcp,203.0.113.10,8443,925,9001000
24,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,2,5,client_to_server,data,tcp,203.0.113.10,8443,925,9002000
25,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,3,5,client_to_server,data,tcp,203.0.113.10,8443,925,9003000
26,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,4,5,client_to_server,data,tcp,203.0.113.10,8443,585,9004000
27,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,9135000
28,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,0,5,client_to_server,data,udp,203.0.113.20,8443,925,9000000
29,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,1,5,client_to_server,data,udp,203.0.113.20,8443,925,9001000
30,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,2,5,client_to_server,data,udp,203.0.113.20,8443,925,9002000
31,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,3,5,client_to_server,data,udp,203.0.113.20,8443,925,9003000
32,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,4,5,client_to_server,data,udp,203.0.113.20,8443,585,9004000
33,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,9175000
34,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,0,10,client_to_server,data,tcp,203.0.113.10,8443,925,10000000
35,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,1,10,client_to_server,data,tcp,203.0.113.10,8443,925,10001000
36,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,2,10,client_to_server,data,tcp,203.0.113.10,8443,925,10002000
37,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,3,10,client_to_server,data,tcp,203.0.113.10,8443,925,10003000
38,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,4,10,client_to_server,data,tcp,203.0.113.10,8443,925,10004000
39,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,5,10,client_to_server,data,tcp,203.0.113.10,8443,925,10005000
40,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,6,10,client_to_server,data,tcp,203.0.113.10,8443,925,10006000
41,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,7,10,client_to_server,data,tcp,203.0.113.10,8443,925,10007000
42,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,8,10,client_to_server,data,tcp,203.0.113.10,8443,925,10008000
43,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,9,10,client_to_server,data,tcp,203.0.113.10,8443,181,10009000
44,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,10140000
45,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,0,10,client_to_server,data,udp,203.0.113.20,8443,925,10000000
46,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,1,10,client_to_server,data,udp,203.0.113.20,8443,925,10001000
47,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,2,10,client_to_server,data,udp,203.0.113.20,8443,925,10002000
48,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,3,10,client_to_server,data,udp,203.0.113.20,8443,925,10003000
49,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,4,10,client_to_server,data,udp,203.0.113.20,8443,925,10004000
50,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,5,10,client_to_server,data,udp,203.0.113.20,8443,925,10005000
51,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,6,10,client_to_server,data,udp,203.0.113.20,8443,925,10006000
52,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,7,10,client_to_server,data,udp,203.0.113.20,8443,925,10007000
53,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,8,10,client_to_server,data,udp,203.0.113.20,8443,925,10008000
54,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,9,10,client_to_server,data,udp,203.0.113.20,8443,181,10009000
55,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,10180000
56,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,generated-0,0,0,2,client_to_server,data,tcp,203.0.113.10,8443,925,11000000
57,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,generated-0,0,1,2,client_to_server,data,tcp,203.0.113.10,8443,213,11001000
58,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,11132000
59,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,ephemeral-0,1,0,2,client_to_server,data,udp,203.0.113.20,8443,925,11000000
60,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,ephemeral-0,1,1,2,client_to_server,data,udp,203.0.113.20,8443,213,11001000
61,0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,11172000
62,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,601,12000000
63,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,12131000
64,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,601,12000000
65,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,12171000
66,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,13000000
67,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,13131000
68,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,185,13000000
69,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,13171000
70,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,0,5,client_to_server,data,tcp,203.0.113.10,8443,925,14000000
71,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,1,5,client_to_server,data,tcp,203.0.113.10,8443,925,14001000
72,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,2,5,client_to_server,data,tcp,203.0.113.10,8443,925,14002000
73,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,3,5,client_to_server,data,tcp,203.0.113.10,8443,925,14003000
74,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,4,5,client_to_server,data,tcp,203.0.113.10,8443,585,14004000
75,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,14135000
76,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,0,5,client_to_server,data,udp,203.0.113.20,8443,925,14000000
77,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,1,5,client_to_server,data,udp,203.0.113.20,8443,925,14001000
78,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,2,5,client_to_server,data,udp,203.0.113.20,8443,925,14002000
79,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,3,5,client_to_server,data,udp,203.0.113.20,8443,925,14003000
80,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,4,5,client_to_server,data,udp,203.0.113.20,8443,585,14004000
81,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,14175000
82,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,0,10,client_to_server,data,tcp,203.0.113.10,8443,925,15000000
83,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,1,10,client_to_server,data,tcp,203.0.113.10,8443,925,15001000
84,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,2,10,client_to_server,data,tcp,203.0.113.10,8443,925,15002000
85,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,3,10,client_to_server,data,tcp,203.0.113.10,8443,925,15003000
86,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,4,10,client_to_server,data,tcp,203.0.113.10,8443,925,15004000
87,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,5,10,client_to_server,data,tcp,203.0.113.10,8443,925,15005000
88,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,6,10,client_to_server,data,tcp,203.0.113.10,8443,925,15006000
89,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,7,10,client_to_server,data,tcp,203.0.113.10,8443,925,15007000
90,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,8,10,client_to_server,data,tcp,203.0.113.10,8443,925,15008000
91,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,9,10,client_to_server,data,tcp,203.0.113.10,8443,181,15009000
92,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,15140000
93,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,0,10,client_to_server,data,udp,203.0.113.20,8443,925,15000000
94,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,1,10,client_to_server,data,udp,203.0.113.20,8443,925,15001000
