workers,payload_bytes,operations,threshold,total_shards,wall_seconds,summed_worker_cpu_seconds,operations_per_second,payload_throughput_mbps,wire_overhead,max_worker_peak_rss_kib,recoveries_verified,speedup_vs_one_worker,parallel_efficiency
1,65536,32,2,3,0.8680307090107817,0.7246779999999999,36.8650551965697,19.327906058899135,1.5084686279296875,34928.0,32,1.0,1.0
2,65536,32,2,3,0.5525552920007613,0.8219540000000001,57.91275635806581,30.36296320545761,1.5084686279296875,33552.0,32,1.5709390925706415,0.7854695462853207
4,65536,32,2,3,0.4470036659913603,1.040607,71.58777977587883,37.53261388313596,1.5084686279296875,33088.0,32,1.9418872261051188,0.4854718065262797
