strategy,epoch,availability,ci_low,ci_high
direct_only,0,0.8196875,0.7996875,0.8387499999999999
direct_only,1,0.85,0.8278125,0.8721874999999999
direct_only,2,0.8253125000000001,0.7990625,0.850625
direct_only,3,0.8324999999999999,0.805,0.8590625
direct_only,4,0.8346875,0.8115625000000002,0.8556328125
direct_only,5,0.8321875000000002,0.805625,0.8590703125
direct_only,6,0.8334374999999999,0.7984375000000001,0.8662499999999997
direct_only,7,0.8231249999999999,0.7931250000000001,0.849375
direct_only,8,0.8328125,0.8124921875,0.8546953125000001
direct_only,9,0.8290625,0.8021875000000002,0.8565703125
direct_only,10,0.8196874999999999,0.7928125,0.84375
direct_only,11,0.8325000000000001,0.8059375000000001,0.8559374999999999
direct_only,12,0.8243749999999999,0.7946875,0.8543750000000001
direct_only,13,0.8278125,0.80625,0.8500078124999999
direct_only,14,0.8421874999999999,0.8165546874999998,0.8665624999999999
direct_only,15,0.8403124999999999,0.8171796874999999,0.8637578125
direct_only,16,0.8200000000000001,0.7987500000000001,0.8412578125000001
direct_only,17,0.8456249999999998,0.8171875,0.8731250000000002
direct_only,18,0.8153124999999999,0.7803046874999998,0.8490703124999999
direct_only,19,0.8356250000000001,0.7978125,0.8693828125
direct_only,20,0.815625,0.7824921874999998,0.8487578125
direct_only,21,0.8300000000000001,0.8,0.8575078125000001
direct_only,22,0.8275,0.8015625,0.8553203124999998
direct_only,23,0.8409375000000001,0.8209375,0.8637499999999999
direct_only,24,0.834375,0.8028124999999999,0.8618750000000001
direct_only,25,0.8150000000000001,0.7846796874999998,0.8431328124999999
direct_only,26,0.791875,0.7534296875,0.8284375
direct_only,27,0.8162499999999999,0.7918749999999999,0.8415625
direct_only,28,0.8456250000000001,0.8193750000000002,0.8696875000000001
direct_only,29,0.8353125,0.8046875,0.8628125000000001
direct_only,30,0.8096875000000001,0.7803046874999998,0.8396874999999999
direct_only,31,0.81375,0.7837421874999999,0.8462578125
direct_only,32,0.8531249999999998,0.8350000000000002,0.8703203125
direct_only,33,0.8306250000000002,0.8006249999999999,0.8609453125000001
direct_only,34,0.8506250000000002,0.8215625000000001,0.8778125000000001
direct_only,35,0.8262499999999999,0.7987421874999998,0.8534375000000001
ephemeral_only,0,0.7649999999999999,0.741875,0.7859375
ephemeral_only,1,0.766875,0.74,0.7950078124999999
ephemeral_only,2,0.784375,0.755625,0.8153124999999999
ephemeral_only,3,0.778125,0.7553124999999999,0.8
ephemeral_only,4,0.7721875,0.7465625,0.7978124999999999
ephemeral_only,5,0.7581249999999999,0.7281171874999999,0.7846874999999999
ephemeral_only,6,0.7743749999999999,0.7381249999999999,0.8109453124999999
ephemeral_only,7,0.7578124999999999,0.7309375,0.7846953124999999
ephemeral_only,8,0.788125,0.7590625000000001,0.8153203125
ephemeral_only,9,0.7725000000000001,0.7328046874999999,0.8096953125
ephemeral_only,10,0.7537499999999999,0.7209375,0.7878125
ephemeral_only,11,0.7581249999999999,0.7284296874999998,0.7875
ephemeral_only,12,0.7684375000000001,0.733125,0.8021874999999999
ephemeral_only,13,0.7840624999999999,0.7509374999999999,0.8146953124999999
ephemeral_only,14,0.7971874999999999,0.7696875,0.8253125000000001
ephemeral_only,15,0.7628125000000001,0.7321875,0.7943749999999999
ephemeral_only,16,0.74875,0.7206250000000001,0.7765625
ephemeral_only,17,0.7853125,0.755,0.8153124999999999
ephemeral_only,18,0.7678125,0.7343750000000001,0.79875
ephemeral_only,19,0.7662500000000001,0.7265546875000001,0.8003203125
ephemeral_only,20,0.74875,0.70625,0.7884453124999998
ephemeral_only,21,0.7703125,0.7349921875,0.8006249999999999
ephemeral_only,22,0.7687499999999999,0.7353125,0.8006249999999999
ephemeral_only,23,0.7778124999999999,0.7478125,0.8065624999999998
ephemeral_only,24,0.7709374999999998,0.7393671874999999,0.7984453125000001
ephemeral_only,25,0.76375,0.7315546874999999,0.7971874999999999
ephemeral_only,26,0.73,0.6903125,0.7690703125
ephemeral_only,27,0.7578125000000001,0.7306250000000001,0.7825078124999999
ephemeral_only,28,0.7468750000000001,0.7071875000000001,0.7887578125
ephemeral_only,29,0.7803125,0.744375,0.8165625000000001
ephemeral_only,30,0.7525000000000001,0.7193750000000001,0.7862578125
ephemeral_only,31,0.7537499999999999,0.7143671874999998,0.7900078125
ephemeral_only,32,0.786875,0.7646796874999999,0.8081328125
ephemeral_only,33,0.7612499999999999,0.7353125,0.7846953124999999
ephemeral_only,34,0.7946875,0.7609375,0.8262499999999999
ephemeral_only,35,0.7765625,0.74375,0.8099999999999999
fixed_only,0,0.7028125000000001,0.6740625,0.7290625
fixed_only,1,0.7340625000000001,0.6968671875000001,0.7696875000000001
fixed_only,2,0.7371875000000001,0.7074921875,0.77
fixed_only,3,0.7274999999999999,0.6909375,0.7587499999999999
fixed_only,4,0.7434375000000001,0.7121875000000001,0.7750000000000001
fixed_only,5,0.7384375000000001,0.7078125,0.7703125000000001
fixed_only,6,0.7631249999999999,0.723125,0.804375
fixed_only,7,0.7268749999999999,0.6896875,0.7628281250000001
fixed_only,8,0.7653125,0.72125,0.8037578124999999
fixed_only,9,0.7471875000000001,0.7090546874999999,0.7846875
fixed_only,10,0.7424999999999999,0.700625,0.783125
fixed_only,11,0.7178125000000001,0.685,0.7493828124999999
fixed_only,12,0.7203124999999999,0.680625,0.7646953125000001
fixed_only,13,0.7353125000000001,0.6993671874999999,0.7684453124999999
fixed_only,14,0.74625,0.7146875,0.7778125000000001
fixed_only,15,0.7518749999999998,0.7093671874999999,0.7909453125000001
fixed_only,16,0.71625,0.6865625000000002,0.7465625
fixed_only,17,0.7618750000000001,0.731875,0.7903125
fixed_only,18,0.729375,0.7009375000000001,0.7559374999999999
fixed_only,19,0.7234375,0.6762421874999998,0.7678203124999999
fixed_only,20,0.7125,0.6656171874999998,0.7525078125
fixed_only,21,0.7306250000000001,0.6806171874999999,0.779078125
fixed_only,22,0.7440625,0.7125,0.7740625
fixed_only,23,0.7534375000000001,0.7246875,0.7840624999999999
fixed_only,24,0.73125,0.6890546875000001,0.7690624999999999
fixed_only,25,0.7215624999999999,0.6884296874999999,0.7512656249999999
fixed_only,26,0.7025000000000001,0.6693671874999999,0.7371875000000001
fixed_only,27,0.7128125000000001,0.6790546875,0.7450078125
fixed_only,28,0.73125,0.6868750000000001,0.7746953125
fixed_only,29,0.7365625,0.6940546874999999,0.7796875
fixed_only,30,0.7196875,0.6753125000000001,0.7596875
fixed_only,31,0.7053125,0.6587265625000001,0.7525000000000002
fixed_only,32,0.744375,0.7156250000000001,0.7740625
