architecture,architecture_label,censor,network,replicates,auac,auac_ci_low,auac_ci_high,t50,t50_ci_low,t50_ci_high,t50_event_fraction,endpoint_burn_rate,endpoint_burn_rate_ci_low,endpoint_burn_rate_ci_high,mean_tpr,mean_fpr,mean_precision,auac_text,auac_text_ci_low,auac_text_ci_high,auac_media,auac_media_ci_low,auac_media_ci_high,auac_file,auac_file_ci_low,auac_file_ci_high,auac_presence,auac_presence_ci_low,auac_presence_ci_high,auac_realtime,auac_realtime_ci_low,auac_realtime_ci_high
direct_e2ee,Direct E2EE,adaptive_cross_layer,impaired,20,0.21347222222222223,0.18758550347222225,0.24112934027777777,2.65,1.95,3.45,1.0,0.03217592592592593,0.02824074074074074,0.036348379629629606,0.08173333333333332,0.0008159722222222221,0.2580175320046231,0.33967013888888886,0.3006076388888889,0.38316406249999996,0.29947916666666663,0.26440972222222225,0.3353298611111111,0.17161458333333335,0.15043402777777778,0.19401258680555555,0.23619791666666665,0.2021657986111111,0.271013454861111,0.020399305555555556,0.016493055555555556,0.024652777777777777
direct_e2ee,Direct E2EE,adaptive_cross_layer,mobile,20,0.2655902777777778,0.23348784722222218,0.2983398437499999,2.7,1.95,3.5,1.0,0.03217592592592593,0.02824074074074074,0.036342592592592586,0.08173333333333332,0.0008159722222222221,0.2580175320046231,0.35078125000000004,0.3093663194444445,0.3917013888888887,0.3285590277777778,0.29027777777777775,0.3691905381944444,0.24852430555555555,0.2197916666666667,0.27969401041666664,0.24479166666666657,0.21162760416666665,0.2812521701388889,0.15529513888888885,0.13176649305555554,0.17977430555555557
direct_e2ee,Direct E2EE,adaptive_cross_layer,stable,20,0.28739583333333335,0.25030815972222226,0.3246358506944444,2.75,2.0,3.5,1.0,0.03217592592592593,0.02824074074074074,0.03657407407407408,0.08173333333333332,0.0008159722222222221,0.2580175320046231,0.3581597222222222,0.31553385416666657,0.4019118923611111,0.3285590277777778,0.29113932291666667,0.3682335069444444,0.29010416666666666,0.2550325520833333,0.327029079861111,0.24861111111111112,0.2148415798611111,0.28724392361111106,0.21154513888888887,0.17864366319444444,0.24600911458333333
direct_e2ee,Direct E2EE,passive_only,impaired,20,0.6342361111111111,0.6180021701388889,0.6477447916666667,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.08976388888888889,0.0010923611111111112,0.3067050722016563,0.8665798611111111,0.8458311631944443,0.8857660590277778,0.8251736111111111,0.800863715277778,0.846970486111111,0.5376736111111111,0.5210004340277777,0.5530403645833333,0.86796875,0.8466970486111112,0.887419704861111,0.07378472222222222,0.06875,0.07899305555555555
direct_e2ee,Direct E2EE,passive_only,mobile,20,0.8265451388888888,0.8048776041666665,0.8460429687500001,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.08976388888888889,0.0010923611111111112,0.3067050722016563,0.8965277777777777,0.8736957465277777,0.9168402777777779,0.8991319444444444,0.8736979166666667,0.923439670138889,0.7757812499999999,0.7519097222222222,0.7971375868055556,0.8969618055555554,0.8753407118055555,0.917795138888889,0.6643229166666665,0.6460915798611111,0.6802973090277779
direct_e2ee,Direct E2EE,passive_only,stable,20,0.9065104166666668,0.8833467881944445,0.929549045138889,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.08976388888888889,0.0010923611111111112,0.3067050722016563,0.9147569444444444,0.8917447916666668,0.9348958333333334,0.8991319444444444,0.8745507812500001,0.9230034722222223,0.8947916666666667,0.8704817708333333,0.9191861979166668,0.9164930555555555,0.8959201388888888,0.9344618055555556,0.9073784722222221,0.8828971354166666,0.9282118055555555
direct_e2ee,Direct E2EE,path_endpoint,impaired,20,0.2418055555555556,0.18476866319444446,0.3029552951388887,2.9,1.74875,4.5,1.0,0.040046296296296295,0.0349537037037037,0.04513888888888889,0.08976388888888889,0.0010923611111111112,0.3067050722016563,0.3933159722222222,0.3179600694444445,0.47109375,0.3446180555555556,0.2713541666666667,0.43168402777777787,0.1890625,0.14121961805555558,0.24210286458333333,0.2609375,0.18116102430555556,0.34913411458333327,0.02109375,0.013368055555555555,0.030123697916666654
direct_e2ee,Direct E2EE,path_endpoint,mobile,20,0.29954861111111114,0.2285920138888889,0.3792712673611111,2.9,1.7,4.35,1.0,0.040046296296296295,0.0349537037037037,0.045601851851851845,0.08976388888888889,0.0010923611111111112,0.3067050722016563,0.40685763888888893,0.3321158854166667,0.48967664930555543,0.3768229166666666,0.2981727430555555,0.46093967013888887,0.275,0.20780815972222222,0.3555707465277777,0.2704861111111111,0.18714843750000001,0.36287109374999993,0.16857638888888887,0.10962456597222221,0.23298828124999998
direct_e2ee,Direct E2EE,path_endpoint,stable,20,0.32340277777777776,0.24541232638888894,0.4126063368055554,2.9,1.65,4.35,1.0,0.040046296296296295,0.0349537037037037,0.045370370370370366,0.08976388888888889,0.0010923611111111112,0.3067050722016563,0.4139756944444445,0.3392296006944444,0.4983593749999999,0.3768229166666666,0.3019097222222223,0.46164279513888884,0.3192708333333333,0.23411024305555553,0.4145008680555555,0.2765625,0.19513888888888892,0.37189236111111107,0.23038194444444446,0.14876953125,0.3235373263888888
ephemeral_relay,Ephemeral Relay,adaptive_cross_layer,impaired,20,0.6063715277777778,0.6035412326388888,0.6092361111111111,36.0,36.0,36.0,0.0,0.007638888888888888,0.007152488425925924,0.008159722222222223,0.1154138888888889,0.0008020833333333333,0.28550630257993703,0.8368055555555556,0.8309027777777779,0.8422764756944446,0.8052951388888889,0.7988715277777778,0.8120681423611112,0.5169270833333333,0.50841796875,0.5252625868055557,0.8365451388888889,0.8308138020833332,0.8422743055555555,0.03628472222222222,0.03237847222222222,0.04001736111111111
ephemeral_relay,Ephemeral Relay,adaptive_cross_layer,mobile,20,0.7709722222222222,0.767638454861111,0.77453125,36.0,36.0,36.0,0.0,0.007638888888888888,0.007152777777777777,0.008136574074074076,0.1154138888888889,0.0008020833333333333,0.28550630257993703,0.8652777777777778,0.8600694444444444,0.8704861111111111,0.8772569444444447,0.871267361111111,0.8835959201388889,0.7485243055555556,0.7414930555555557,0.7558159722222222,0.86484375,0.859375,0.8699652777777777,0.4989583333333333,0.48967013888888894,0.5092035590277778
ephemeral_relay,Ephemeral Relay,adaptive_cross_layer,stable,20,0.877482638888889,0.8734722222222222,0.8816328125000001,36.0,36.0,36.0,0.0,0.007638888888888888,0.007152777777777777,0.00814814814814815,0.1154138888888889,0.0008020833333333333,0.28550630257993703,0.8831597222222222,0.8761284722222221,0.8895855034722223,0.8772569444444447,0.871267361111111,0.88359375,0.8637152777777779,0.8557291666666667,0.8715277777777779,0.8837673611111111,0.8786458333333333,0.8887152777777777,0.8795138888888889,0.8714388020833332,0.8875
ephemeral_relay,Ephemeral Relay,passive_only,impaired,20,0.6051909722222222,0.5876362847222223,0.6212178819444446,34.9,33.05,36.0,0.1,0.0,0.0,0.0,0.12231388888888887,0.0010354166666666667,0.3385906893858159,0.8371527777777779,0.8137131076388889,0.8579014756944444,0.7965277777777777,0.7704839409722223,0.8205750868055557,0.5168402777777777,0.4995659722222222,0.5338541666666666,0.8387152777777777,0.8161414930555556,0.8603298611111111,0.03671875,0.032549913194444446,0.04053819444444444
ephemeral_relay,Ephemeral Relay,passive_only,mobile,20,0.76875,0.7477773437499999,0.788752170138889,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.12231388888888887,0.0010354166666666667,0.3385906893858159,0.8659722222222221,0.8422677951388888,0.8877647569444446,0.8680555555555556,0.8401888020833334,0.8948806423611112,0.7458333333333333,0.7218728298611111,0.7690972222222221,0.8667534722222221,0.8450499131944444,0.8889756944444442,0.4971354166666667,0.4833333333333334,0.5105034722222221
ephemeral_relay,Ephemeral Relay,passive_only,stable,20,0.8740972222222222,0.8491467013888888,0.8980043402777779,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.12231388888888887,0.0010354166666666667,0.3385906893858159,0.8834201388888889,0.859201388888889,0.9052083333333332,0.8680555555555556,0.8416644965277776,0.8934895833333332,0.8581597222222221,0.8277756076388888,0.8850716145833334,0.8854166666666667,0.8638845486111112,0.9063368055555555,0.8754340277777777,0.8488671875000001,0.9006966145833336
ephemeral_relay,Ephemeral Relay,path_endpoint,impaired,20,0.603298611111111,0.5855724826388888,0.6192539062500001,35.25,33.75,36.0,0.05,0.007476851851851853,0.006168981481481482,0.00894675925925926,0.12231388888888887,0.0010354166666666667,0.3385906893858159,0.8309027777777779,0.8067708333333334,0.8539973958333335,0.7965277777777777,0.7716124131944445,0.8206618923611111,0.5168402777777777,0.5006076388888888,0.5330729166666666,0.8355034722222223,0.8122374131944443,0.8590342881944444,0.03671875,0.03289713541666666,0.04053819444444444
ephemeral_relay,Ephemeral Relay,path_endpoint,mobile,20,0.7668229166666667,0.7445638020833333,0.7887335069444444,36.0,36.0,36.0,0.0,0.007476851851851853,0.0061108217592592586,0.00894675925925926,0.12231388888888887,0.0010354166666666667,0.3385906893858159,0.8596354166666664,0.8344618055555557,0.8837695312500001,0.8680555555555556,0.8414019097222221,0.8958333333333333,0.7458333333333333,0.7206575520833333,0.7709223090277778,0.8634548611111112,0.8399305555555555,0.8862868923611112,0.4971354166666667,0.48350260416666657,0.5104166666666667
ephemeral_relay,Ephemeral Relay,path_endpoint,stable,20,0.8721354166666666,0.8464743923611112,0.8974157986111112,36.0,36.0,36.0,0.0,0.007476851851851853,0.0061574074074074074,0.008888888888888889,0.12231388888888887,0.0010354166666666667,0.3385906893858159,0.8770833333333334,0.85078125,0.9006076388888887,0.8680555555555556,0.8410481770833332,0.8945355902777777,0.8581597222222221,0.828904079861111,0.8852430555555555,0.8819444444444446,0.8594552951388889,0.9030403645833334,0.8754340277777777,0.8479144965277777,0.8984375
fixed_proxy,Fixed App Proxy,adaptive_cross_layer,impaired,20,0.0946701388888889,0.08682248263888889,0.10314236111111112,1.1,0.7,1.5,1.0,0.05541666666666667,0.050277777777777775,0.06069444444444444,0.16738611111111112,0.0007923611111111111,0.3370538723072619,0.19444444444444442,0.1796853298611111,0.2099001736111111,0.13151041666666669,0.11744791666666668,0.14652994791666663,0.0638888888888889,0.05598958333333333,0.071875,0.07986111111111112,0.06744574652777778,0.09270833333333331,0.003645833333333333,0.002604166666666667,0.004774305555555555
fixed_proxy,Fixed App Proxy,adaptive_cross_layer,mobile,20,0.11267361111111111,0.10315972222222222,0.12239583333333333,1.35,1.0,1.75,1.0,0.05541666666666667,0.050277777777777775,0.060555555555555564,0.16738611111111112,0.0007923611111111111,0.3370538723072619,0.20060763888888888,0.1853276909722222,0.21623914930555552,0.14487847222222222,0.1306401909722222,0.16137369791666667,0.09348958333333333,0.08246527777777779,0.10529513888888886,0.08263888888888887,0.07013888888888889,0.09618055555555553,0.04175347222222223,0.03394097222222223,0.04991536458333332
fixed_proxy,Fixed App Proxy,adaptive_cross_layer,stable,20,0.12119791666666668,0.10999956597222221,0.1320325520833333,1.35,1.05,1.701249999999993,1.0,0.05541666666666667,0.05041319444444444,0.06069444444444444,0.16738611111111112,0.0007923611111111111,0.3370538723072619,0.20494791666666665,0.1890581597222222,0.22101128472222223,0.14487847222222222,0.13046657986111107,0.16119791666666666,0.10720486111111112,0.09522569444444444,0.12005208333333332,0.08420138888888888,0.0699631076388889,0.09739583333333333,0.06475694444444444,0.05390625,0.07595920138888887
fixed_proxy,Fixed App Proxy,passive_only,impaired,20,0.5713541666666667,0.5481592881944444,0.5923624131944445,31.2,25.8,36.0,0.15,0.0,0.0,0.0,0.17571944444444443,0.001057638888888889,0.371201297009392,0.7879340277777778,0.7569401041666667,0.816232638888889,0.7452256944444444,0.7115429687499999,0.7783854166666666,0.4797743055555556,0.4588519965277778,0.5006076388888889,0.7954861111111111,0.7684874131944444,0.8231792534722223,0.04835069444444444,0.04348958333333334,0.05295138888888888
