run_id,seed,architecture,censor,network,layer_mask,auac,t50,t50_observed,endpoint_burns,endpoint_exposure_epochs,endpoint_burn_rate,mean_tpr,mean_fpr,mean_precision,auac_text,auac_media,auac_file,auac_presence,auac_realtime
run-00000,1103,direct_e2ee,passive_only,stable,P--,0.8684027777777777,36,0,0,216,0.0,0.12827777777777777,0.001402777777777778,0.15033369524608395,0.875,0.8663194444444444,0.8472222222222222,0.8663194444444444,0.8871527777777778
run-00001,1201,direct_e2ee,passive_only,stable,P--,0.9746527777777779,36,0,0,216,0.0,0.022222222222222223,9.722222222222223e-05,0.8134343528742431,0.96875,0.9670138888888888,0.9722222222222222,0.9826388888888888,0.9826388888888888
run-00002,1301,direct_e2ee,passive_only,stable,P--,0.9020833333333333,36,0,0,216,0.0,0.08627777777777779,0.0009861111111111112,0.19041470623259982,0.9184027777777778,0.8993055555555556,0.8767361111111112,0.9166666666666666,0.8993055555555556
run-00003,1429,direct_e2ee,passive_only,stable,P--,0.8777777777777778,36,0,0,216,0.0,0.11533333333333334,0.0016250000000000004,0.08938139498377165,0.8888888888888888,0.859375,0.8611111111111112,0.8975694444444444,0.8819444444444444
run-00004,1543,direct_e2ee,passive_only,stable,P--,0.9791666666666665,36,0,0,216,0.0,0.020888888888888887,0.00011111111111111112,0.7865072123997661,0.9878472222222222,0.9791666666666666,0.9670138888888888,0.9809027777777778,0.9809027777777778
run-00005,1601,direct_e2ee,passive_only,stable,P--,0.7954861111111112,36,0,0,216,0.0,0.19944444444444442,0.003652777777777778,0.07021965093434797,0.8177083333333334,0.7673611111111112,0.7847222222222222,0.8229166666666666,0.7847222222222222
run-00006,1741,direct_e2ee,passive_only,stable,P--,0.9555555555555557,36,0,0,216,0.0,0.043166666666666666,0.00029166666666666675,0.5872417405179712,0.9496527777777778,0.9548611111111112,0.9618055555555556,0.9600694444444444,0.9513888888888888
run-00007,1871,direct_e2ee,passive_only,stable,P--,0.8614583333333333,36,0,0,216,0.0,0.1381666666666667,0.0020833333333333337,0.08193326001300663,0.8559027777777778,0.8541666666666666,0.8402777777777778,0.8958333333333334,0.8611111111111112
run-00008,1999,direct_e2ee,passive_only,stable,P--,0.8781250000000002,36,0,0,216,0.0,0.11633333333333333,0.0012083333333333336,0.15876216839563123,0.9045138888888888,0.8732638888888888,0.828125,0.8993055555555556,0.8854166666666666
run-00009,2081,direct_e2ee,passive_only,stable,P--,0.9069444444444444,36,0,0,216,0.0,0.08572222222222221,0.0009305555555555556,0.19767060282283266,0.9340277777777778,0.90625,0.8958333333333334,0.90625,0.8923611111111112
run-00010,2203,direct_e2ee,passive_only,stable,P--,0.9291666666666666,36,0,0,216,0.0,0.07122222222222224,0.0005833333333333335,0.2777693673970546,0.9392361111111112,0.9236111111111112,0.9149305555555556,0.9288194444444444,0.9392361111111112
run-00011,2333,direct_e2ee,passive_only,stable,P--,0.9194444444444445,36,0,0,216,0.0,0.08138888888888889,0.0007916666666666666,0.24606625446311858,0.9305555555555556,0.9027777777777778,0.9253472222222222,0.9288194444444444,0.9097222222222222
run-00012,2441,direct_e2ee,passive_only,stable,P--,0.9309027777777779,36,0,0,216,0.0,0.06883333333333333,0.0007500000000000001,0.2619983117076708,0.9427083333333334,0.9114583333333334,0.9357638888888888,0.9305555555555556,0.9340277777777778
run-00013,2551,direct_e2ee,passive_only,stable,P--,0.9093749999999999,36,0,0,216,0.0,0.09227777777777776,0.0010555555555555557,0.1689210521251995,0.9114583333333334,0.8975694444444444,0.9027777777777778,0.921875,0.9131944444444444
run-00014,2683,direct_e2ee,passive_only,stable,P--,0.778125,36,0,0,216,0.0,0.20683333333333334,0.0031805555555555563,0.0760500067061491,0.7829861111111112,0.765625,0.7586805555555556,0.8003472222222222,0.7829861111111112
run-00015,2791,direct_e2ee,passive_only,stable,P--,0.9107638888888887,36,0,0,216,0.0,0.08649999999999997,0.0009027777777777778,0.24615977727633187,0.9079861111111112,0.9045138888888888,0.9097222222222222,0.9288194444444444,0.9027777777777778
run-00016,2903,direct_e2ee,passive_only,stable,P--,0.9611111111111109,36,0,0,216,0.0,0.038333333333333344,0.00018055555555555557,0.6644887250374238,0.9722222222222222,0.9565972222222222,0.9618055555555556,0.9548611111111112,0.9600694444444444
run-00017,3011,direct_e2ee,passive_only,stable,P--,0.9517361111111112,36,0,0,216,0.0,0.044500000000000005,0.00025,0.6371541335601685,0.9565972222222222,0.9409722222222222,0.9479166666666666,0.9652777777777778,0.9479166666666666
run-00018,3137,direct_e2ee,passive_only,stable,P--,0.9298611111111111,36,0,0,216,0.0,0.06633333333333333,0.0007083333333333334,0.2406585444634655,0.9357638888888888,0.9357638888888888,0.921875,0.9270833333333334,0.9288194444444444
run-00019,3251,direct_e2ee,passive_only,stable,P--,0.9100694444444444,36,0,0,216,0.0,0.08322222222222223,0.0010555555555555557,0.18893648687629028,0.9149305555555556,0.9166666666666666,0.8819444444444444,0.9149305555555556,0.921875
run-00020,1103,direct_e2ee,passive_only,mobile,P--,0.792361111111111,36,0,0,216,0.0,0.12827777777777777,0.001402777777777778,0.15033369524608395,0.8541666666666666,0.8663194444444444,0.7378472222222222,0.8350694444444444,0.6684027777777778
run-00021,1201,direct_e2ee,passive_only,mobile,P--,0.8944444444444445,36,0,0,216,0.0,0.022222222222222223,9.722222222222223e-05,0.8134343528742431,0.9618055555555556,0.9670138888888888,0.859375,0.9670138888888888,0.7170138888888888
run-00022,1301,direct_e2ee,passive_only,mobile,P--,0.8236111111111111,36,0,0,216,0.0,0.08627777777777779,0.0009861111111111112,0.19041470623259982,0.9027777777777778,0.8993055555555556,0.7482638888888888,0.9027777777777778,0.6649305555555556
run-00023,1429,direct_e2ee,passive_only,mobile,P--,0.8034722222222224,36,0,0,216,0.0,0.11533333333333334,0.0016250000000000004,0.08938139498377165,0.8697916666666666,0.859375,0.7274305555555556,0.8836805555555556,0.6770833333333334
run-00024,1543,direct_e2ee,passive_only,mobile,P--,0.8930555555555555,36,0,0,216,0.0,0.020888888888888887,0.00011111111111111112,0.7865072123997661,0.9652777777777778,0.9791666666666666,0.8350694444444444,0.96875,0.7170138888888888
run-00025,1601,direct_e2ee,passive_only,mobile,P--,0.720486111111111,36,0,0,216,0.0,0.19944444444444442,0.003652777777777778,0.07021965093434797,0.7934027777777778,0.7673611111111112,0.6701388888888888,0.8055555555555556,0.5659722222222222
run-00026,1741,direct_e2ee,passive_only,mobile,P--,0.8645833333333335,36,0,0,216,0.0,0.043166666666666666,0.00029166666666666675,0.5872417405179712,0.9357638888888888,0.9548611111111112,0.8263888888888888,0.9340277777777778,0.671875
run-00027,1871,direct_e2ee,passive_only,mobile,P--,0.7972222222222222,36,0,0,216,0.0,0.1381666666666667,0.0020833333333333337,0.08193326001300663,0.84375,0.8541666666666666,0.7638888888888888,0.8819444444444444,0.6423611111111112
