architecture,architecture_label,seed,layer,auac_loss_contribution
generated_transport,Generated Transport,1741,endpoint,0.008854166666666665
generated_transport,Generated Transport,1741,platform,0.0
generated_transport,Generated Transport,1871,path,0.0425347222222222
generated_transport,Generated Transport,1871,endpoint,0.008506944444444442
generated_transport,Generated Transport,1871,platform,0.0
platform_controlled,Permitted Platform,1103,path,0.0
platform_controlled,Permitted Platform,1103,endpoint,0.0
platform_controlled,Permitted Platform,1103,platform,0.03645833333333326
platform_controlled,Permitted Platform,1201,path,0.0
platform_controlled,Permitted Platform,1201,endpoint,0.0
platform_controlled,Permitted Platform,1201,platform,0.028819444444444283
platform_controlled,Permitted Platform,1301,path,0.0
platform_controlled,Permitted Platform,1301,endpoint,0.0
platform_controlled,Permitted Platform,1301,platform,0.029513888888888947
platform_controlled,Permitted Platform,1429,path,0.0
platform_controlled,Permitted Platform,1429,endpoint,0.0
platform_controlled,Permitted Platform,1429,platform,0.030555555555555336
platform_controlled,Permitted Platform,1543,path,0.0
platform_controlled,Permitted Platform,1543,endpoint,0.0
platform_controlled,Permitted Platform,1543,platform,0.028125000000000178
platform_controlled,Permitted Platform,1601,path,0.0
platform_controlled,Permitted Platform,1601,endpoint,0.0
platform_controlled,Permitted Platform,1601,platform,0.030208333333333393
platform_controlled,Permitted Platform,1741,path,0.0
platform_controlled,Permitted Platform,1741,endpoint,0.0
platform_controlled,Permitted Platform,1741,platform,0.035069444444444264
platform_controlled,Permitted Platform,1871,path,0.0
platform_controlled,Permitted Platform,1871,endpoint,0.0
platform_controlled,Permitted Platform,1871,platform,0.028124999999999952
